odo,end_odo,soc,end_soc,event,charge_mode,duration_minutes
2096.265625,2106.125,70.9,69.4,0,0,18.0
2106.125,2112.5,69.4,68.2,0,0,11.0
2118.875,2129.15625,66.6,63.5,0,0,13.0
2129.15625,2142.859375,63.5,60.3,0,0,15.0
2142.859375,2157.046875,59.6,56.0,0,0,16.0
2157.046875,2170.640625,55.6,52.1,0,0,15.0
2170.640625,2177.8125,51.7,49.8,0,0,9.0
2177.8125,2188.28125,47.8,45.0,0,0,14.0
2188.28125,2201.890625,44.3,42.3,0,0,17.0
2201.890625,2216.0625,41.9,38.8,0,0,16.0
2216.0625,2231.390625,38.0,33.7,0,0,21.0
2231.390625,2286.71875,33.7,24.3,0,0,51.0
2286.71875,2286.734375,24.3,59.2,1,3,31.0
2286.734375,2307.015625,59.2,55.6,0,0,26.0
2307.015625,2318.296875,51.7,49.8,0,0,26.0
2322.265625,2411.515625,49.0,26.6,0,0,108.0
2411.515625,2419.8125,26.6,25.8,0,0,12.0
2419.8125,2419.84375,25.8,25.4,0,0,11.0
2419.84375,2498.796875,25.4,12.1,0,0,234.0
2498.796875,2502.71875,12.1,11.3,0,0,8.0
2502.71875,2502.75,10.9,10.9,0,0,0.0
2502.75,2502.75,10.9,20.0,1,2,65.0
2502.75,2507.140625,20.0,18.8,0,0,8.0
2507.140625,2520.84375,20.3,18.4,0,0,19.0
2520.84375,2520.84375,18.4,34.9,1,2,163.0
2520.84375,2521.03125,34.9,34.9,0,0,3.0
2521.03125,2535.15625,35.2,32.1,0,0,17.0
2535.15625,2541.265625,30.5,29.8,0,0,31.0
2541.265625,2547.1875,29.8,28.6,0,0,12.0
2547.1875,2557.328125,28.2,27.0,0,0,16.0
2557.328125,2562.8125,26.6,25.8,0,0,9.0
2562.8125,2573.890625,25.8,24.3,0,0,14.0
2573.890625,2573.890625,24.3,41.1,1,2,312.0
2573.890625,2574.078125,41.1,41.1,0,0,2.0
2574.078125,2582.265625,41.1,39.6,0,0,9.0
2582.265625,2588.34375,39.2,38.4,0,0,11.0
