odo,end_odo,soc,end_soc,event,charge_mode,duration_minutes
4974.078125,4975.34375,59.6,59.6,0.0,0.0,9.0
4975.34375,4981.546875,64.3,62.3,0.0,0.0,23.0
4981.546875,4981.5625,62.3,62.3,0.0,0.0,1.0
4981.5625,4998.109375,62.3,59.6,0.0,0.0,155.0
4998.109375,4998.59375,59.6,59.6,0.0,0.0,3.0
4998.59375,5000.78125,59.6,58.8,0.0,0.0,24.0
5000.78125,5006.25,58.8,58.4,0.0,0.0,27.0
5006.25,5007.3125,57.6,57.6,0.0,0.0,3.0
5007.3125,5007.5,57.6,57.6,0.0,0.0,2.0
5007.5,5008.265625,68.6,68.6,0.0,0.0,1.0
5008.265625,5010.078125,68.6,68.6,0.0,0.0,5.0
5010.078125,5015.25,68.2,67.0,0.0,0.0,13.0
5015.25,5024.5625,66.6,64.7,0.0,0.0,11.0
5024.5625,5025.71875,63.9,63.9,0.0,0.0,4.0
5025.71875,5047.5,63.5,57.6,0.0,0.0,28.0
5047.5,5070.328125,56.4,52.5,0.0,0.0,36.0
5070.328125,5086.34375,51.7,49.4,0.0,0.0,41.0
5086.34375,5088.5,49.0,48.6,0.0,0.0,7.0
5088.5,5105.359375,78.4,74.1,0.0,0.0,615.0
5105.359375,5189.65625,74.1,44.3,0.0,0.0,53.0
5189.65625,5201.6875,43.5,40.0,0.0,0.0,17.0
5201.6875,5201.765625,40.0,40.3,0.0,0.0,130.0
5201.765625,5204.515625,40.3,40.0,0.0,0.0,7.0
5204.515625,5207.25,100.0,100.0,0.0,0.0,9.0
5207.25,5286.109375,100.0,78.4,0.0,0.0,49.0
5286.109375,5287.15625,77.6,77.6,0.0,0.0,3.0
5287.15625,5366.84375,77.6,56.8,0.0,0.0,140.0
5366.84375,5366.875,56.8,56.8,0.0,0.0,1.0
5366.875,5445.390625,56.8,56.4,0.0,0.0,7.0
5445.390625,5446.46875,78.0,78.0,0.0,0.0,7.0
5446.46875,5454.53125,76.4,74.1,0.0,0.0,18.0
5454.53125,5540.78125,74.1,48.6,0.0,0.0,62.0
5540.78125,5540.8125,74.5,74.1,0.0,0.0,6.0
5540.8125,5631.203125,74.1,54.9,0.0,0.0,57.0
5631.203125,5633.40625,54.1,54.1,0.0,0.0,5.0
5633.40625,5635.734375,53.7,53.7,0.0,0.0,5.0
5635.734375,5730.109375,53.3,27.0,0.0,0.0,80.0
5730.125,5735.203125,27.0,26.2,0.0,0.0,14.0
5735.203125,5739.125,100.0,99.2,0.0,0.0,8.0
5739.125,5824.203125,99.2,78.0,0.0,0.0,59.0
5824.203125,5909.734375,78.0,53.7,0.0,0.0,1528.0
5909.734375,5909.765625,53.7,53.7,0.0,0.0,2.0
5909.765625,5996.625,62.3,41.5,0.0,0.0,56.0
5996.625,5996.96875,41.5,41.5,0.0,0.0,2.0
