event,charge_mode,duration_minutes,soc,end_soc,odo,end_odo
trip,0,89.36,50.0,37.6,2096.0,2151.73884
trip,0,58.98,37.6,28.5,2151.73884,2195.6148
trip,0,293.38,28.5,22.7,2195.6148,2232.34332
charge,120,98.7,22.7,26.2,2232.34332,2232.34332
trip,0,56.74,26.2,19.2,2232.34332,2268.42958
charge,DC Charging,79.84,19.2,49.0,2268.42958,2268.42958
trip,0,45.43,49.0,45.2,2268.42958,2290.50143
charge,DC Charging,44.98,45.2,79.5,2290.50143,2290.50143
trip,0,59.99,79.5,67.5,2290.50143,2347.80086
trip,0,101.34,67.5,49.7,2347.80086,2429.59327
trip,0,76.94,49.7,36.7,2429.59327,2494.1089
charge,DC Charging,34.04,36.7,70.4,2494.1089,2494.1089
trip,0,21.83,70.4,65.2,2494.1089,2512.86933
charge,240,50.6,65.2,72.0,2512.86933,2512.86933
trip,0,11.65,72.0,69.9,2512.86933,2521.35212
trip,0,18.93,69.9,68.0,2521.35212,2535.77641
trip,0,20.49,68.0,65.9,2535.77641,2548.99412
trip,0,26.0,65.9,63.5,2548.99412,2566.84431
trip,0,59.2,63.5,57.6,2566.84431,2597.05733
charge,120,155.54,57.6,64.3,2597.05733,2597.05733
trip,0,122.62,64.3,60.9,2597.05733,2619.82974
trip,0,67.46,60.9,50.6,2619.82974,2671.66154
trip,0,17.42,50.6,49.3,2671.66154,2685.08842
trip,0,49.74,49.3,43.8,2685.08842,2713.83679
charge,120,595.8,43.8,56.9,2713.83679,2713.83679
charge,120,192.42,56.9,61.7,2713.83679,2713.83679
trip,0,154.1,61.7,38.2,2713.83679,2825.08675
trip,0,43.05,38.2,31.7,2825.08675,2860.38022
charge,DC Charging,94.66,31.7,54.4,2860.38022,2860.38022
trip,0,110.62,54.4,36.0,2860.38022,2946.88923
trip,0,17.95,36.0,32.2,2946.88923,2961.31561
charge,120,33.7,32.2,34.7,2961.31561,2961.31561
trip,0,55.75,34.7,25.1,2961.31561,3004.95207
charge,240,70.27,25.1,34.5,3004.95207,3004.95207
trip,0,49.98,34.5,30.9,3004.95207,3022.77486
charge,240,59.58,30.9,39.6,3022.77486,3022.77486
trip,0,18.55,39.6,37.2,3022.77486,3037.33041
charge,240,67.12,37.2,47.5,3037.33041,3037.33041
charge,DC Charging,49.91,47.5,83.4,3037.33041,3037.33041
charge,120,225.03,83.4,90.8,3037.33041,3037.33041
trip,0,17.88,90.8,88.5,3037.33041,3049.4641
trip,0,15.73,88.5,86.6,3049.4641,3058.66099
trip,0,16.32,86.6,84.5,3058.66099,3069.72322
trip,0,48.98,84.5,76.9,3069.72322,3109.59967
trip,0,31.83,76.9,74.2,3109.59967,3131.21505
trip,0,35.09,74.2,70.5,3131.21505,3154.29859
trip,0,50.78,70.5,63.4,3154.29859,3191.53301
trip,0,52.2,63.4,56.0,3191.53301,3232.38139
trip,0,68.03,56.0,45.2,3232.38139,3286.58334
trip,0,47.69,45.2,40.9,3286.58334,3306.20301
trip,0,72.63,40.9,31.5,3306.20301,3353.06725
trip,0,30.76,31.5,29.5,3353.06725,3366.56923
trip,0,113.84,29.5,21.8,3366.56923,3413.4309
charge,120,770.09,21.8,34.8,3413.4309,3413.4309
trip,0,298.86,34.8,20.4,3413.4309,3490.82079
trip,0,16.31,20.4,18.3,3490.82079,3503.48275
trip,0,16.79,18.3,15.9,3503.48275,3516.73447
charge,120,46.69,15.9,19.5,3516.73447,3516.73447
charge,120,81.02,19.5,21.8,3516.73447,3516.73447
charge,DC Charging,41.8,21.8,54.8,3516.73447,3516.73447
trip,0,24.95,54.8,55.3,3516.73447,3520.48107
charge,120,255.89,55.3,63.1,3520.48107,3520.48107
trip,0,76.54,63.1,52.0,3520.48107,3571.70955
trip,0,78.5,52.0,51.0,3571.70955,3584.32594
charge,120,833.72,51.0,62.1,3584.32594,3584.32594
trip,0,60.54,62.1,54.6,3584.32594,3628.99789
trip,0,16.62,54.6,52.1,3628.99789,3643.03712
trip,0,13.87,52.1,51.4,3643.03712,3648.10282
charge,120,103.58,51.4,55.3,3648.10282,3648.10282
trip,0,59.39,55.3,44.5,3648.10282,3694.44832
trip,0,24.11,44.5,42.2,3694.44832,3711.95297
trip,0,13.98,42.2,40.0,3711.95297,3721.76355
charge,240,83.11,40.0,49.2,3721.76355,3721.76355
charge,120,350.25,49.2,57.9,3721.76355,3721.76355
charge,240,70.99,57.9,64.4,3721.76355,3721.76355
charge,240,52.56,64.4,70.5,3721.76355,3721.76355
trip,0,10.73,70.5,68.3,3721.76355,3728.75826
charge,120,66.62,68.3,70.4,3728.75826,3728.75826
trip,0,255.33,70.4,43.2,3728.75826,3883.69209
charge,240,126.7,43.2,53.9,3883.69209,3883.69209
trip,0,43.19,53.9,48.1,3883.69209,3917.73197
trip,0,17.01,48.1,46.8,3917.73197,3930.6699
trip,0,37.77,46.8,41.3,3930.6699,3960.43969
trip,0,54.06,41.3,34.0,3960.43969,3994.97664
charge,240,74.44,34.0,48.8,3994.97664,3994.97664
trip,0,55.12,48.8,43.0,3994.97664,4025.9329
trip,0,60.29,43.0,36.7,4025.9329,4053.00831
charge,120,78.13,36.7,42.0,4053.00831,4053.00831
trip,0,32.35,42.0,40.1,4053.00831,4060.46001
charge,120,151.68,40.1,44.8,4060.46001,4060.46001
trip,0,16.13,44.8,42.4,4060.46001,4072.3782
trip,0,59.43,42.4,32.0,4072.3782,4123.45994
trip,0,43.73,32.0,28.2,4123.45994,4139.54805
charge,120,138.29,28.2,33.6,4139.54805,4139.54805
trip,0,13.88,33.6,31.9,4139.54805,4150.21238
trip,0,11.4,31.9,30.9,4150.21238,4157.77758
charge,DC Charging,27.59,30.9,60.5,4157.77758,4157.77758
trip,0,215.42,60.5,38.3,4157.77758,4269.77284
trip,0,20.16,38.3,35.0,4269.77284,4283.41264
trip,0,14.97,35.0,32.9,4283.41264,4295.16747
trip,0,25.27,32.9,28.6,4295.16747,4311.91805
trip,0,24.61,28.6,25.9,4311.91805,4329.19164
trip,0,128.85,25.9,17.2,4329.19164,4378.77694
trip,0,45.82,17.2,11.1,4378.77694,4415.66116
charge,240,28.11,11.1,33.3,4415.66116,4415.66116
charge,120,613.45,33.3,45.4,4415.66116,4415.66116
trip,0,152.27,45.4,23.9,4415.66116,4520.27419
charge,240,57.12,23.9,31.3,4520.27419,4520.27419
charge,DC Charging,40.03,31.3,65.9,4520.27419,4520.27419
charge,120,56.37,65.9,71.9,4520.27419,4520.27419
trip,0,142.73,71.9,51.6,4520.27419,4619.43645
trip,0,12.36,51.6,49.2,4619.43645,4629.57416
trip,0,12.68,49.2,47.1,4629.57416,4639.2426
trip,0,30.76,47.1,45.4,4639.2426,4651.7773
trip,0,69.78,45.4,38.1,4651.7773,4687.5971
charge,120,93.32,38.1,45.0,4687.5971,4687.5971
charge,120,133.5,45.0,48.9,4687.5971,4687.5971
trip,0,45.97,48.9,41.2,4687.5971,4722.71724
charge,240,58.1,41.2,51.6,4722.71724,4722.71724
charge,120,298.76,51.6,54.3,4722.71724,4722.71724
charge,120,80.82,54.3,58.7,4722.71724,4722.71724
charge,120,92.32,58.7,62.0,4722.71724,4722.71724
trip,0,55.76,62.0,53.1,4722.71724,4761.28611
charge,120,69.9,53.1,57.6,4761.28611,4761.28611
charge,120,118.91,57.6,61.5,4761.28611,4761.28611
trip,0,98.59,61.5,43.1,4761.28611,4846.11141
trip,0,16.89,43.1,38.9,4846.11141,4860.29469
charge,DC Charging,37.77,38.9,63.3,4860.29469,4860.29469
trip,0,37.29,63.3,56.9,4860.29469,4890.98521
trip,0,25.86,56.9,54.2,4890.98521,4911.60485
trip,0,13.07,54.2,52.1,4911.60485,4921.6201
trip,0,44.6,52.1,46.5,4921.6201,4953.5945
charge,120,159.46,46.5,49.4,4953.5945,4953.5945
trip,0,169.17,49.4,23.0,4953.5945,5082.64857
trip,0,129.9,23.0,0.1,5082.64857,5191.18116
charge,240,43.44,0.1,16.0,5191.18116,5191.18116
charge,120,73.31,16.0,20.2,5191.18116,5191.18116
charge,240,58.77,20.2,27.0,5191.18116,5191.18116
charge,DC Charging,35.1,27.0,57.9,5191.18116,5191.18116
trip,0,32.41,57.9,55.9,5191.18116,5200.9265
charge,120,108.18,55.9,60.8,5200.9265,5200.9265
trip,0,174.6,60.8,56.4,5200.9265,5227.34785
trip,0,194.93,56.4,35.1,5227.34785,5350.2797
trip,0,60.07,35.1,28.8,5350.2797,5385.0318
trip,0,132.62,28.8,8.6,5385.0318,5488.19914
trip,0,36.32,8.6,4.0,5488.19914,5512.66128
trip,0,10.54,4.0,2.0,5512.66128,5520.34623
charge,DC Charging,38.11,2.0,22.4,5520.34623,5520.34623
charge,240,35.16,22.4,34.0,5520.34623,5520.34623
trip,0,10.65,34.0,32.6,5520.34623,5527.92104
charge,240,45.22,32.6,54.8,5527.92104,5527.92104
trip,0,47.0,54.8,48.0,5527.92104,5562.51389
trip,0,310.34,48.0,38.9,5562.51389,5618.586
trip,0,25.31,38.9,36.2,5618.586,5636.41905
