event,charge_mode,duration_minutes,soc,end_soc,odo,end_odo
charge,DC Charging,65.63,20.0,84.6,2096.0,2096.0
trip,0,55.42,84.6,73.8,2096.0,2144.79076
trip,0,33.65,73.8,71.3,2144.79076,2165.95858
charge,120,58.57,71.3,78.4,2165.95858,2165.95858
trip,0,84.03,78.4,68.1,2165.95858,2208.45885
trip,0,69.86,68.1,58.5,2208.45885,2259.16299
trip,0,129.21,58.5,38.7,2259.16299,2354.65918
trip,0,13.55,38.7,37.4,2354.65918,2364.08761
trip,0,39.79,37.4,32.7,2364.08761,2392.44422
charge,240,42.71,32.7,45.0,2392.44422,2392.44422
trip,0,19.6,45.0,41.9,2392.44422,2407.21279
trip,0,49.72,41.9,35.1,2407.21279,2442.87817
charge,DC Charging,44.78,35.1,64.1,2442.87817,2442.87817
trip,0,153.84,64.1,44.6,2442.87817,2554.81597
trip,0,48.62,44.6,39.8,2554.81597,2581.82111
trip,0,17.56,39.8,38.5,2581.82111,2593.52787
trip,0,109.47,38.5,22.1,2593.52787,2667.94647
trip,0,51.07,22.1,14.1,2667.94647,2702.44285
charge,DC Charging,85.62,14.1,67.5,2702.44285,2702.44285
trip,0,68.96,67.5,66.4,2702.44285,2712.26045
trip,0,21.77,66.4,64.2,2712.26045,2724.77851
trip,0,73.51,64.2,56.7,2724.77851,2772.287
charge,120,76.51,56.7,63.1,2772.287,2772.287
trip,0,14.92,63.1,61.9,2772.287,2782.47266
charge,DC Charging,56.63,61.9,92.0,2782.47266,2782.47266
trip,0,188.6,92.0,64.0,2782.47266,2927.5865
trip,0,53.68,64.0,55.5,2927.5865,2969.1795
trip,0,24.35,55.5,52.0,2969.1795,2987.02902
charge,240,48.23,52.0,61.7,2987.02902,2987.02902
trip,0,17.09,61.7,62.5,2987.02902,2993.92801
trip,0,50.5,62.5,55.9,2993.92801,3029.76636
trip,0,11.53,55.9,54.8,3029.76636,3038.23191
charge,120,100.15,54.8,60.8,3038.23191,3038.23191
trip,0,16.11,60.8,59.4,3038.23191,3048.17234
trip,0,51.7,59.4,52.5,3048.17234,3085.01829
trip,0,40.25,52.5,47.4,3085.01829,3109.71568
charge,DC Charging,35.37,47.4,80.8,3109.71568,3109.71568
trip,0,30.87,80.8,75.0,3109.71568,3135.84699
charge,120,537.81,75.0,83.9,3135.84699,3135.84699
trip,0,89.54,83.9,71.0,3135.84699,3193.53746
trip,0,153.72,71.0,52.1,3193.53746,3288.05857
charge,120,746.86,52.1,62.8,3288.05857,3288.05857
trip,0,229.56,62.8,32.9,3288.05857,3442.19077
charge,120,152.58,32.9,36.2,3442.19077,3442.19077
trip,0,15.35,36.2,35.2,3442.19077,3450.86246
trip,0,77.47,35.2,32.6,3450.86246,3461.739
trip,0,206.0,32.6,5.2,3461.739,3602.53688
