event,charge_mode,duration_minutes,km_driven,charge
0,0,6.999999753081705,2.828125081959674,-1.4999977346530642
1,240,1113.9999888424334,0.0,45.09999715370968
0,0,144.99999883264135,14.625000274258053,-5.500002058245883
0,0,1.0000000279852121,0.03375000034004031,-7.626958620221558e-08
0,0,19.000000443156075,19.266249163578745,-4.300000761168036
0,0,53.00000086327555,79.42187528610482,-18.899998048450627
0,0,2.9999999953926806,0.18749999483870988,-7.626958620221558e-08
0,0,89.00000080798772,96.57812227570173,-26.59999976642709
0,0,1.0000000279852121,1.2968750301048375,-7.626958620221558e-08
1,240,38.00000088631215,0.0,3.0999993115510165
1,240,1113.9999888424334,0.0,45.09999715370968
0,0,144.99999883264135,14.625000274258053,-5.500002058245883
0,0,1.0000000279852121,0.03375000034004031,-7.626958620221558e-08
0,0,19.000000443156075,19.266249163578745,-4.300000761168036
0,0,53.00000086327555,79.42187528610482,-18.899998048450627
0,0,2.9999999953926806,0.18749999483870988,-7.626958620221558e-08
0,0,89.00000080798772,96.57812227570173,-26.59999976642709
0,0,1.0000000279852121,1.2968750301048375,-7.626958620221558e-08
1,240,38.00000088631215,0.0,3.0999993115510165
0,0,4.000000111940849,0.0,-7.626958620221558e-08
0,0,144.99999883264135,14.625000274258053,-5.500002058245883
0,0,1.0000000279852121,0.03375000034004031,-7.626958620221558e-08
0,0,19.000000443156075,19.266249163578745,-4.300000761168036
0,0,53.00000086327555,79.42187528610482,-18.899998048450627
0,0,2.9999999953926806,0.18749999483870988,-7.626958620221558e-08
0,0,89.00000080798772,96.57812227570173,-26.59999976642709
0,0,1.0000000279852121,1.2968750301048375,-7.626958620221558e-08
1,240,38.00000088631215,0.0,3.0999993115510165
0,0,4.000000111940849,0.0,-7.626958620221558e-08
0,0,6.999999753081705,3.4687499609193564,-1.2000013733474333
0,0,1.0000000279852121,0.03375000034004031,-7.626958620221558e-08
0,0,19.000000443156075,19.266249163578745,-4.300000761168036
0,0,53.00000086327555,79.42187528610482,-18.899998048450627
0,0,2.9999999953926806,0.18749999483870988,-7.626958620221558e-08
0,0,89.00000080798772,96.57812227570173,-26.59999976642709
0,0,1.0000000279852121,1.2968750301048375,-7.626958620221558e-08
1,240,38.00000088631215,0.0,3.0999993115510165
0,0,4.000000111940849,0.0,-7.626958620221558e-08
0,0,6.999999753081705,3.4687499609193564,-1.2000013733474333
0,0,5.999999990785361,2.8125000353870955,-0.8000009409881415
0,0,19.000000443156075,19.266249163578745,-4.300000761168036
0,0,53.00000086327555,79.42187528610482,-18.899998048450627
0,0,2.9999999953926806,0.18749999483870988,-7.626958620221558e-08
0,0,89.00000080798772,96.57812227570173,-26.59999976642709
0,0,1.0000000279852121,1.2968750301048375,-7.626958620221558e-08
1,240,38.00000088631215,0.0,3.0999993115510165
0,0,4.000000111940849,0.0,-7.626958620221558e-08
0,0,6.999999753081705,3.4687499609193564,-1.2000013733474333
0,0,5.999999990785361,2.8125000353870955,-0.8000009409881415
1,240,431.999999336546,0.0,28.19999605937329
0,0,53.00000086327555,79.42187528610482,-18.899998048450627
0,0,2.9999999953926806,0.18749999483870988,-7.626958620221558e-08
0,0,89.00000080798772,96.57812227570173,-26.59999976642709
0,0,1.0000000279852121,1.2968750301048375,-7.626958620221558e-08
1,240,38.00000088631215,0.0,3.0999993115510165
0,0,4.000000111940849,0.0,-7.626958620221558e-08
0,0,6.999999753081705,3.4687499609193564,-1.2000013733474333
0,0,5.999999990785361,2.8125000353870955,-0.8000009409881415
1,240,431.999999336546,0.0,28.19999605937329
0,0,71.00000083563164,100.43750336441921,-23.900000810965764
0,0,2.9999999953926806,0.18749999483870988,-7.626958620221558e-08
0,0,89.00000080798772,96.57812227570173,-26.59999976642709
0,0,1.0000000279852121,1.2968750301048375,-7.626958620221558e-08
1,240,38.00000088631215,0.0,3.0999993115510165
0,0,4.000000111940849,0.0,-7.626958620221558e-08
0,0,6.999999753081705,3.4687499609193564,-1.2000013733474333
0,0,5.999999990785361,2.8125000353870955,-0.8000009409881415
1,240,431.999999336546,0.0,28.19999605937329
0,0,71.00000083563164,100.43750336441921,-23.900000810965764
0,0,60.999998961646305,97.21874738027431,-31.800000103145983
0,0,89.00000080798772,96.57812227570173,-26.59999976642709
0,0,1.0000000279852121,1.2968750301048375,-7.626958620221558e-08
1,240,38.00000088631215,0.0,3.0999993115510165
0,0,4.000000111940849,0.0,-7.626958620221558e-08
0,0,6.999999753081705,3.4687499609193564,-1.2000013733474333
0,0,5.999999990785361,2.8125000353870955,-0.8000009409881415
1,240,431.999999336546,0.0,28.19999605937329
0,0,71.00000083563164,100.43750336441921,-23.900000810965764
0,0,60.999998961646305,97.21874738027431,-31.800000103145983
