vin,event,charge_mode,duration_minutes,km_driven,charge
-2.47174e+18,trip,0,105.23969229111142,33.626090946141225,-8.643641603671483
-2.47174e+18,trip,0,141.45799071201657,84.33005364435647,-18.08892202083825
-2.47174e+18,trip,0,57.66682937649768,8.600617672857547,-1.0651707762283422
-2.47174e+18,trip,0,54.14673952474752,7.244678358737081,-0.4335588862713564
-2.47174e+18,trip,0,57.46811960918261,5.578204824773014,0.736297466002469
-2.47174e+18,trip,0,264.59439447956925,82.22910631190472,-15.584582515183826
-2.47174e+18,trip,0,165.75688852642142,71.1645448930822,-20.17516884329922
-2.47174e+18,charge,120,164.32435082914228,0.0,6.766047315861769
-2.47174e+18,trip,0,60.08736690977599,9.083223929541765,-1.0111000978445333
-2.47174e+18,trip,0,72.39220483720042,17.87172032025693,-4.605730210135789
-2.47174e+18,trip,0,64.15631470003342,11.7431563006379,-1.7471070227696543
-2.47174e+18,trip,0,108.51759292363612,50.43718604463948,-11.37289780004076
-2.47174e+18,trip,0,130.43399134865143,59.00308128545505,-12.824901324567108
-2.47174e+18,trip,0,157.932480304303,36.518444555070005,-8.641660121760609
-2.47174e+18,trip,0,67.9723606958978,6.958008364911033,-0.4412945916513848
-2.47174e+18,trip,0,104.24801390416847,42.1606379990026,-10.961996575195812
-2.47174e+18,trip,0,67.21562778687651,5.022415806333054,0.947602696977583
-2.47174e+18,trip,0,77.94444752612631,20.0032645141035,-5.825604449791712
-2.47174e+18,trip,0,57.41889844370357,5.133588598121208,0.7482761846476365
-2.47174e+18,trip,0,78.74362830574555,20.417431838810813,-5.307280485618833
-2.47174e+18,trip,0,115.5887767468014,8.090670623461149,-0.5308681419262058
-2.47174e+18,trip,0,96.47791673774098,24.3845283069201,-7.386563059657064
-2.47174e+18,trip,0,96.63283531154028,48.84857040675091,-12.956746488940482
-2.47174e+18,trip,0,159.46263280027858,113.98063557078466,-25.834994514230367
-2.47174e+18,trip,0,74.68470725912381,10.57852423228711,-2.290984177665109
-2.47174e+18,trip,0,106.11811211879572,10.183520538722826,-0.8551072739173691
-2.47174e+18,trip,0,62.79502979769174,5.938128677753008,0.6693815008844552
-2.47174e+18,trip,0,106.82038093533797,42.393430096236685,-11.325088604495306
-2.47174e+18,trip,0,73.43806958319215,13.55877632323646,-4.135701565070505
-2.47174e+18,charge,120,168.98768783638386,0.0,3.5099916966928504
-2.47174e+18,charge,120,293.81149790173737,0.0,10.95682343388134
-2.47174e+18,trip,0,79.29993403460745,14.859401381166112,-2.903182828847349
-2.47174e+18,trip,0,106.94410267647989,12.18741415797173,-1.7211469677613849
-2.47174e+18,charge,120,252.3957980912672,0.0,6.187887881932397
-2.47174e+18,trip,0,88.13880045298022,16.19637162121296,-6.1584352873483965
-2.47174e+18,charge,120,454.37828546018943,0.0,17.703404747720313
-2.47174e+18,trip,0,133.77353746663792,87.63828091554947,-17.84025925090353
-2.47174e+18,trip,0,141.93664444098636,91.30206435361116,-18.13502978391624
-2.47174e+18,trip,0,100.27538293392315,26.955756105224136,-6.921929329341111
-2.47174e+18,trip,0,132.51755887860244,12.891931727637818,-1.727170672770427
-2.47174e+18,trip,0,87.631285119379,5.166164657357923,-2.7367172125272674
-2.47174e+18,trip,0,56.04727505612078,7.838386309811248,-0.6697145423846536
-2.47174e+18,trip,0,79.23136788550565,23.67739934903348,-6.457100092809938
-2.47174e+18,trip,0,104.3704206625385,43.57335867373358,-12.74505024553494
-2.47174e+18,charge,240,156.06775538134713,0.0,15.917312805117843
-2.47174e+18,trip,0,88.85856080760036,20.067438562963797,-6.589721998092372
-2.47174e+18,trip,0,204.38112930544267,83.38856268182136,-18.449123728523745
-2.47174e+18,trip,0,125.50036870149351,23.93002377726398,-5.222330393136033
-2.47174e+18,trip,0,73.31038022161778,9.7115721663397,-1.817774593638916
-2.47174e+18,trip,0,92.7326304182746,21.1118651072397,-7.100067195104145
-2.47174e+18,charge,120,331.2701651582909,0.0,12.943483617477897
-2.47174e+18,trip,0,100.82009187506397,3.2697253879323007,-1.0110208385681003
-2.47174e+18,trip,0,70.69073615898115,10.445434706726813,-1.41628937083442
-2.47174e+18,trip,0,70.81067732465388,7.497122161145117,-2.067879882404739
-2.47174e+18,trip,0,56.615438302046485,7.61896676848131,-0.7354469023078991
-2.47174e+18,trip,0,58.76357035249169,9.442694296414292,-1.258029731601212
