event,charge_mode,duration_minutes,soc,end_soc,odo,end_odo
trip,0,139.78,100.0,98.0,172563.0,172572.15187
trip,0,73.31,98.0,93.9,172572.15187,172584.07645
trip,0,58.3,93.9,92.6,172584.07645,172592.21433
trip,0,58.85,92.6,92.1,172592.21433,172596.77118
trip,0,53.46,92.1,93.0,172596.77118,172602.20241
trip,0,117.45,93.0,77.1,172602.20241,172666.65578
trip,0,120.36,77.1,75.0,172666.65578,172678.87483
charge,120,322.64,75.0,89.7,172678.87483,172678.87483
trip,0,76.84,89.7,86.1,172678.87483,172694.33484
trip,0,66.12,86.1,83.8,172694.33484,172705.51753
charge,120,279.08,83.8,95.3,172705.51753,172705.51753
trip,0,68.75,95.3,95.8,172705.51753,172710.39077
trip,0,83.56,95.8,92.3,172710.39077,172718.7776
trip,0,103.39,92.3,90.8,172718.7776,172728.67651
trip,0,103.82,90.8,89.3,172728.67651,172742.05575
trip,0,65.69,89.3,88.3,172742.05575,172750.83057
trip,0,65.01,88.3,86.1,172750.83057,172761.76455
trip,0,60.77,86.1,84.2,172761.76455,172771.75406
trip,0,59.1,84.2,83.4,172771.75406,172780.07886
trip,0,61.36,83.4,84.1,172780.07886,172786.47386
charge,240,230.21,84.1,96.4,172786.47386,172786.47386
trip,0,131.63,96.4,79.4,172786.47386,172836.18377
trip,0,117.28,79.4,76.3,172836.18377,172850.3449
trip,0,118.13,76.3,64.3,172850.3449,172899.72782
trip,0,59.02,64.3,63.8,172899.72782,172908.62009
trip,0,124.49,63.8,47.2,172908.62009,172984.63059
trip,0,61.91,47.2,46.4,172984.63059,172994.03848
trip,120,126.48,46.4,41.3,172994.03848,173033.58451
trip,0,133.01,41.3,20.0,173033.58451,173124.18837
charge,240,466.55,20.0,40.1,173124.18837,173124.18837
trip,0,130.46,40.1,29.7,173124.18837,173172.55673
trip,0,77.93,29.7,25.4,173172.55673,173191.6845
trip,0,70.44,25.4,22.5,173191.6845,173205.12655
trip,0,64.24,22.5,23.2,173205.12655,173210.65312
trip,0,107.17,23.2,23.9,173210.65312,173217.62208
trip,0,97.1,23.9,24.8,173217.62208,173225.58541
charge,240,328.93,24.8,50.9,173225.58541,173225.58541
trip,0,135.89,50.9,33.7,173225.58541,173300.25706
trip,0,119.38,33.7,16.6,173300.25706,173360.80982
trip,0,68.03,16.6,17.2,173360.80982,173365.65705
charge,240,1707.7,17.2,74.4,173365.65705,173365.65705
trip,0,89.6,74.4,71.6,173365.65705,173371.97976
charge,240,183.69,71.6,82.3,173371.97976,173371.97976
trip,0,122.38,82.3,63.2,173371.97976,173458.58789
trip,0,79.09,63.2,56.8,173458.58789,173480.98713
trip,0,52.87,56.8,57.4,173480.98713,173486.52494
charge,DC Charging,316.99,57.4,72.9,173486.52494,173486.52494
trip,0,88.22,72.9,73.8,173486.52494,173494.35916
trip,0,152.91,73.8,53.2,173494.35916,173544.68105
charge,120,528.53,53.2,74.9,173544.68105,173544.68105
trip,0,54.23,74.9,75.5,173544.68105,173550.64458
trip,0,56.71,75.5,76.2,173550.64458,173556.4595
trip,0,74.11,76.2,73.3,173556.4595,173570.60275
trip,0,58.87,73.3,74.2,173570.60275,173576.32834
trip,0,103.51,74.2,59.7,173576.32834,173625.63524
trip,0,152.74,59.7,46.5,173625.63524,173670.80112
charge,240,745.09,46.5,87.0,173670.80112,173670.80112
trip,0,137.72,87.0,72.4,173670.80112,173733.7695
trip,0,59.01,72.4,71.6,173733.7695,173741.16284
charge,240,173.56,71.6,78.9,173741.16284,173741.16284
trip,0,54.25,78.9,78.3,173741.16284,173748.48506
trip,0,51.41,78.3,78.9,173748.48506,173754.48971
trip,0,114.57,78.9,64.3,173754.48971,173820.57222
trip,0,134.43,64.3,45.1,173820.57222,173898.08116
charge,DC Charging,181.65,45.1,69.1,173898.08116,173898.08116
trip,0,137.52,69.1,65.5,173898.08116,173917.17283
charge,240,366.81,65.5,81.7,173917.17283,173917.17283
trip,0,59.59,81.7,79.8,173917.17283,173924.7932
charge,120,512.52,79.8,94.0,173924.7932,173924.7932
trip,0,118.92,94.0,77.6,173924.7932,173994.87819
trip,0,130.69,77.6,60.8,173994.87819,174074.4416
trip,0,67.18,60.8,58.9,174074.4416,174083.4029
trip,0,78.21,58.9,57.6,174083.4029,174087.79956
trip,0,131.19,57.6,53.1,174087.79956,174101.47355
trip,0,96.44,53.1,43.5,174101.47355,174130.26183
trip,0,57.18,43.5,42.5,174130.26183,174138.98604
trip,0,97.22,42.5,32.0,174138.98604,174165.97372
trip,0,92.76,32.0,21.7,174165.97372,174203.43295
trip,0,184.01,21.7,10.9,174203.43295,174237.13348
charge,120,303.92,10.9,24.6,174237.13348,174237.13348
trip,0,102.77,24.6,25.2,174237.13348,174240.84639
charge,240,343.79,25.2,48.1,174240.84639,174240.84639
trip,0,56.82,48.1,47.7,174240.84639,174247.99296
trip,0,68.32,47.7,47.4,174247.99296,174251.91037
trip,0,88.78,47.4,48.3,174251.91037,174258.53647
charge,240,673.08,48.3,77.8,174258.53647,174258.53647
trip,0,155.95,77.8,70.7,174258.53647,174280.68154
charge,240,214.07,70.7,82.7,174280.68154,174280.68154
trip,0,131.25,82.7,64.7,174280.68154,174345.88885
trip,0,68.45,64.7,63.9,174345.88885,174352.42447
charge,0,185.55,63.9,69.1,174352.42447,174352.42447
trip,0,74.91,69.1,68.6,174352.42447,174356.33358
trip,0,55.91,68.6,69.4,174356.33358,174361.70171
trip,0,100.03,69.4,64.6,174361.70171,174378.88906
charge,240,550.53,64.6,97.2,174378.88906,174378.88906
trip,0,237.36,97.2,77.5,174378.88906,174476.49843
trip,0,90.66,77.5,72.1,174476.49843,174494.19808
trip,0,91.43,72.1,69.0,174494.19808,174502.33026
charge,120,484.47,69.0,88.8,174502.33026,174502.33026
trip,0,72.73,88.8,85.0,174502.33026,174518.70166
trip,0,178.52,85.0,72.7,174518.70166,174565.06208
trip,0,97.74,72.7,64.2,174565.06208,174582.15524
trip,0,55.36,64.2,63.7,174582.15524,174589.70499
trip,0,109.36,63.7,49.7,174589.70499,174649.82862
trip,0,113.93,49.7,34.8,174649.82862,174709.18525
trip,0,74.62,34.8,30.1,174709.18525,174726.50776
charge,240,241.09,30.1,44.0,174726.50776,174726.50776
trip,0,64.16,44.0,43.3,174726.50776,174735.13302
charge,DC Charging,277.36,43.3,70.2,174735.13302,174735.13302
trip,0,99.92,70.2,61.9,174735.13302,174754.35491
charge,120,710.54,61.9,90.2,174754.35491,174754.35491
trip,0,127.63,90.2,76.7,174754.35491,174802.83748
trip,0,97.48,76.7,66.1,174802.83748,174837.94186
trip,0,92.64,66.1,60.1,174837.94186,174855.36749
charge,240,446.61,60.1,92.4,174855.36749,174855.36749
trip,0,222.77,92.4,69.4,174855.36749,174958.39449
trip,0,54.47,69.4,70.1,174958.39449,174964.83776
trip,0,126.03,70.1,54.4,174964.83776,175043.85722
charge,240,462.02,54.4,78.1,175043.85722,175043.85722
trip,0,100.14,78.1,76.0,175043.85722,175054.50319
trip,0,68.2,76.0,74.7,175054.50319,175063.86756
trip,0,65.06,74.7,72.6,175063.86756,175074.31918
trip,0,123.97,72.6,56.5,175074.31918,175149.32068
trip,0,101.68,56.5,46.4,175149.32068,175185.49483
charge,DC Charging,319.54,46.4,79.1,175185.49483,175185.49483
trip,0,155.18,79.1,72.0,175185.49483,175212.89761
trip,0,92.62,72.0,71.5,175212.89761,175220.17992
charge,120,917.21,71.5,98.3,175220.17992,175220.17992
trip,0,109.85,98.3,97.8,175220.17992,175229.74156
charge,120,143.73,97.8,99.9,175229.74156,175229.74156
trip,0,94.21,99.9,90.1,175229.74156,175268.22842
trip,0,125.88,90.1,74.8,175268.22842,175341.69804
trip,0,71.26,74.8,71.6,175341.69804,175354.65743
trip,0,142.69,71.6,56.4,175354.65743,175426.2073
trip,0,137.65,56.4,52.0,175426.2073,175447.4675
trip,0,75.65,52.0,46.7,175447.4675,175466.54633
trip,0,142.0,46.7,22.8,175466.54633,175574.63714
charge,240,165.12,22.8,33.6,175574.63714,175574.63714
trip,0,60.75,33.6,31.0,175574.63714,175583.52882
trip,0,58.86,31.0,29.9,175583.52882,175589.85109
charge,240,224.18,29.9,41.2,175589.85109,175589.85109
trip,0,72.77,41.2,39.8,175589.85109,175600.76692
trip,0,151.31,39.8,31.5,175600.76692,175631.67472
charge,240,446.16,31.5,48.0,175631.67472,175631.67472
trip,0,81.97,48.0,46.1,175631.67472,175638.76341
charge,240,133.09,46.1,47.5,175638.76341,175638.76341
trip,0,55.63,47.5,46.5,175638.76341,175647.30743
trip,0,115.23,46.5,33.8,175647.30743,175684.99361
trip,0,129.83,33.8,31.5,175684.99361,175697.4137
charge,240,341.97,31.5,55.3,175697.4137,175697.4137
trip,0,101.43,55.3,42.4,175697.4137,175745.0624
trip,0,72.67,42.4,38.3,175745.0624,175761.89658
trip,0,118.09,38.3,24.1,175761.89658,175825.72821
charge,120,400.29,24.1,43.8,175825.72821,175825.72821
trip,0,127.64,43.8,31.9,175825.72821,175876.93339
trip,0,182.75,31.9,21.4,175876.93339,175921.73516
trip,0,72.65,21.4,22.0,175921.73516,175927.00234
trip,0,86.5,22.0,13.1,175927.00234,175955.83667
trip,0,77.95,13.1,11.0,175955.83667,175964.48939
charge,240,390.21,11.0,40.7,175964.48939,175964.48939
trip,0,224.53,40.7,29.9,175964.48939,175995.5774
charge,240,885.11,29.9,83.4,175995.5774,175995.5774
trip,0,99.73,83.4,74.4,175995.5774,176022.63787
trip,0,68.27,74.4,72.6,176022.63787,176035.39482
trip,0,59.2,72.6,71.9,176035.39482,176044.52413
trip,0,94.22,71.9,63.3,176044.52413,176078.30274
trip,0,134.63,63.3,44.8,176078.30274,176150.29123
charge,DC Charging,179.17,44.8,84.1,176150.29123,176150.29123
trip,0,141.78,84.1,75.7,176150.29123,176187.2036
trip,0,190.48,75.7,60.3,176187.2036,176238.87217
trip,0,112.89,60.3,49.5,176238.87217,176268.64825
charge,120,413.06,49.5,67.9,176268.64825,176268.64825
trip,0,96.7,67.9,60.5,176268.64825,176300.62853
trip,0,95.47,60.5,50.3,176300.62853,176333.2567
trip,0,66.07,50.3,47.8,176333.2567,176342.4347
charge,120,644.33,47.8,69.5,176342.4347,176342.4347
trip,0,135.7,69.5,50.0,176342.4347,176430.01152
trip,0,71.84,50.0,48.1,176430.01152,176438.67553
trip,0,56.49,48.1,48.8,176438.67553,176444.95719
trip,0,76.78,48.8,46.5,176444.95719,176458.76745
trip,0,143.52,46.5,40.2,176458.76745,176484.12577
trip,0,67.1,40.2,40.7,176484.12577,176489.21851
trip,0,55.63,40.7,40.3,176489.21851,176496.84651
trip,0,62.83,40.3,39.2,176496.84651,176503.4807
trip,0,61.27,39.2,40.0,176503.4807,176509.2526
charge,240,373.09,40.0,67.0,176509.2526,176509.2526
trip,0,77.28,67.0,63.8,176509.2526,176520.54615
trip,0,70.62,63.8,63.2,176520.54615,176527.894
charge,120,580.13,63.2,94.4,176527.894,176527.894
trip,0,128.94,94.4,78.8,176527.894,176598.28419
trip,0,58.16,78.8,79.5,176598.28419,176603.84245
trip,0,122.44,79.5,75.0,176603.84245,176616.45974
trip,0,223.48,75.0,52.9,176616.45974,176713.1109
trip,0,139.73,52.9,38.1,176713.1109,176759.37425
charge,240,235.53,38.1,52.9,176759.37425,176759.37425
trip,0,76.63,52.9,50.7,176759.37425,176769.05953
charge,240,309.55,50.7,72.5,176769.05953,176769.05953
trip,0,124.98,72.5,60.4,176769.05953,176805.23608
charge,120,874.34,60.4,92.1,176805.23608,176805.23608
trip,0,230.23,92.1,70.5,176805.23608,176905.74645
trip,0,92.09,70.5,63.8,176905.74645,176927.68466
trip,0,93.93,63.8,53.2,176927.68466,176956.9852
trip,0,89.92,53.2,45.8,176956.9852,176976.90368
charge,120,310.72,45.8,59.5,176976.90368,176976.90368
trip,0,91.14,59.5,51.1,176976.90368,177010.44529
trip,0,129.86,51.1,33.8,177010.44529,177089.05294
trip,0,142.23,33.8,25.8,177089.05294,177116.18092
charge,240,563.22,25.8,58.1,177116.18092,177116.18092
trip,0,156.19,58.1,41.0,177116.18092,177171.24758
trip,0,97.99,41.0,32.5,177171.24758,177193.7148
charge,120,366.19,32.5,47.2,177193.7148,177193.7148
trip,0,119.92,47.2,32.1,177193.7148,177266.44575
trip,0,139.9,32.1,13.8,177266.44575,177353.97758
charge,120,915.79,13.8,53.5,177353.97758,177353.97758
trip,0,129.6,53.5,37.3,177353.97758,177401.97403
charge,120,1590.19,37.3,93.9,177401.97403,177401.97403
trip,0,67.67,93.9,90.9,177401.97403,177416.18395
trip,0,126.93,90.9,74.5,177416.18395,177495.02797
trip,0,72.81,74.5,75.2,177495.02797,177500.41579
charge,240,432.57,75.2,100.0,177500.41579,177500.41579
trip,0,190.44,100.0,87.7,177500.41579,177548.81512
trip,120,154.02,87.7,72.6,177548.81512,177601.87068
trip,120,161.64,72.6,64.2,177601.87068,177661.21626
trip,0,111.59,64.2,60.6,177661.21626,177676.79397
trip,0,206.05,60.6,43.6,177676.79397,177755.48271
trip,0,75.74,43.6,41.0,177755.48271,177766.98652
trip,0,63.08,41.0,39.6,177766.98652,177775.19876
trip,0,77.95,39.6,38.8,177775.19876,177778.80643
trip,0,116.24,38.8,20.1,177778.80643,177854.83309
trip,0,55.75,20.1,19.6,177854.83309,177861.83458
trip,0,144.36,19.6,18.8,177861.83458,177866.91956
charge,DC Charging,107.91,18.8,50.4,177866.91956,177866.91956
trip,0,57.2,50.4,49.4,177866.91956,177874.71013
charge,DC Charging,127.48,49.4,73.4,177874.71013,177874.71013
trip,0,194.47,73.4,56.6,177874.71013,177950.19235
charge,120,332.1,56.6,66.0,177950.19235,177950.19235
trip,0,165.55,66.0,44.7,177950.19235,178029.71732
trip,0,55.93,44.7,44.0,178029.71732,178036.13598
trip,0,165.26,44.0,15.6,178036.13598,178135.96813
charge,240,450.12,15.6,41.9,178135.96813,178135.96813
trip,0,140.06,41.9,40.5,178135.96813,178145.87324
trip,0,190.49,40.5,38.0,178145.87324,178162.52483
charge,120,247.72,38.0,46.7,178162.52483,178162.52483
trip,0,82.31,46.7,43.2,178162.52483,178173.30154
charge,240,227.13,43.2,65.1,178173.30154,178173.30154
trip,0,62.04,65.1,60.9,178173.30154,178182.99955
trip,0,60.8,60.9,59.3,178182.99955,178192.87437
trip,0,98.58,59.3,55.2,178192.87437,178208.72818
charge,DC Charging,347.9,55.2,91.4,178208.72818,178208.72818
trip,120,262.24,91.4,86.7,178208.72818,178251.17926
trip,0,149.56,86.7,69.7,178251.17926,178316.43548
trip,0,69.12,69.7,68.8,178316.43548,178323.60319
charge,120,365.8,68.8,83.0,178323.60319,178323.60319
trip,0,59.34,83.0,83.8,178323.60319,178330.30152
trip,0,60.03,83.8,84.7,178330.30152,178336.66811
trip,0,128.62,84.7,77.9,178336.66811,178361.92282
trip,0,75.75,77.9,76.0,178361.92282,178371.78834
trip,0,118.25,76.0,58.6,178371.78834,178440.49074
trip,0,56.14,58.6,57.9,178440.49074,178447.95593
trip,0,65.07,57.9,58.8,178447.95593,178452.76628
charge,DC Charging,267.23,58.8,92.8,178452.76628,178452.76628
trip,0,208.49,92.8,76.2,178452.76628,178525.65512
trip,0,193.07,76.2,67.1,178525.65512,178552.75032
charge,120,488.73,67.1,90.6,178552.75032,178552.75032
trip,0,107.86,90.6,79.1,178552.75032,178587.89527
trip,0,87.94,79.1,77.9,178587.89527,178593.26342
charge,120,264.15,77.9,87.2,178593.26342,178593.26342
trip,0,66.54,87.2,84.7,178593.26342,178606.40601
trip,0,64.84,84.7,83.7,178606.40601,178616.88804
trip,0,97.87,83.7,76.7,178616.88804,178643.82098
trip,0,119.26,76.7,76.2,178643.82098,178650.80011
trip,0,68.44,76.2,73.9,178650.80011,178663.6239
trip,0,115.18,73.9,61.3,178663.6239,178705.73602
charge,DC Charging,180.83,61.3,92.8,178705.73602,178705.73602
trip,0,142.29,92.8,87.6,178705.73602,178722.20443
charge,240,217.91,87.6,96.1,178722.20443,178722.20443
trip,0,56.4,96.1,95.8,178722.20443,178729.25393
trip,0,56.14,95.8,95.2,178729.25393,178737.51241
trip,0,88.07,95.2,86.7,178737.51241,178767.76201
trip,0,117.75,86.7,74.7,178767.76201,178805.49183
charge,240,368.3,74.7,97.9,178805.49183,178805.49183
trip,0,96.0,97.9,89.0,178805.49183,178840.43249
trip,0,132.92,89.0,82.3,178840.43249,178865.81408
trip,0,291.74,82.3,58.3,178865.81408,178982.77943
trip,0,133.28,58.3,45.6,178982.77943,179032.92438
trip,0,86.8,45.6,43.1,179032.92438,179043.96672
charge,120,449.91,43.1,60.6,179043.96672,179043.96672
trip,0,102.1,60.6,49.5,179043.96672,179090.66611
trip,0,58.59,49.5,49.0,179090.66611,179097.72007
trip,0,54.76,49.0,49.6,179097.72007,179103.08494
charge,0,321.57,49.6,60.0,179103.08494,179103.08494
trip,0,70.8,60.0,57.8,179103.08494,179115.92954
trip,0,167.28,57.8,44.0,179115.92954,179170.20708
charge,240,938.87,44.0,76.3,179170.20708,179170.20708
trip,0,138.07,76.3,70.8,179170.20708,179197.61115
trip,0,96.59,70.8,63.8,179197.61115,179223.67411
trip,0,128.29,63.8,48.7,179223.67411,179291.53854
charge,DC Charging,322.82,48.7,96.6,179291.53854,179291.53854
trip,0,123.11,96.6,75.0,179291.53854,179385.8597
trip,0,65.0,75.0,72.6,179385.8597,179396.1727
charge,120,598.48,72.6,94.2,179396.1727,179396.1727
trip,0,73.07,94.2,92.2,179396.1727,179407.32517
trip,0,57.45,92.2,92.9,179407.32517,179413.98258
trip,0,122.54,92.9,78.3,179413.98258,179483.78604
trip,0,74.25,78.3,74.8,179483.78604,179499.0708
trip,0,177.99,74.8,51.7,179499.0708,179593.08866
charge,240,534.19,51.7,84.2,179593.08866,179593.08866
trip,0,124.57,84.2,76.9,179593.08866,179601.6614
trip,0,203.22,76.9,60.4,179601.6614,179673.02148
charge,DC Charging,380.33,60.4,89.5,179673.02148,179673.02148
trip,0,51.14,89.5,90.1,179673.02148,179678.70242
trip,0,75.38,90.1,86.3,179678.70242,179693.75544
trip,0,122.47,86.3,87.1,179693.75544,179700.57629
trip,0,52.72,87.1,87.9,179700.57629,179706.15016
trip,0,89.03,87.9,79.3,179706.15016,179738.88202
trip,0,49.87,79.3,80.0,179738.88202,179744.52109
trip,0,78.52,80.0,74.4,179744.52109,179766.44712
trip,0,77.52,74.4,71.5,179766.44712,179780.34029
charge,120,913.18,71.5,96.1,179780.34029,179780.34029
trip,0,316.62,96.1,68.6,179780.34029,179905.51963
trip,0,138.97,68.6,50.4,179905.51963,179990.3593
trip,0,108.7,50.4,38.1,179990.3593,180041.25347
trip,0,61.44,38.1,36.4,180041.25347,180051.09493
trip,0,160.74,36.4,11.6,180051.09493,180143.81203
charge,240,368.4,11.6,46.1,180143.81203,180143.81203
trip,0,79.15,46.1,46.8,180143.81203,180149.49463
trip,0,133.05,46.8,31.9,180149.49463,180220.72734
trip,0,176.04,31.9,20.3,180220.72734,180272.1746
charge,240,399.32,20.3,45.5,180272.1746,180272.1746
trip,0,63.67,45.5,45.2,180272.1746,180278.7463
trip,0,123.39,45.2,43.1,180278.7463,180290.53801
trip,0,110.9,43.1,39.5,180290.53801,180298.41216
trip,0,59.21,39.5,38.8,180298.41216,180304.64508
trip,0,79.75,38.8,39.5,180304.64508,180309.09249
charge,120,239.81,39.5,48.0,180309.09249,180309.09249
trip,0,60.64,48.0,48.7,180309.09249,180314.4006
trip,0,67.99,48.7,46.0,180314.4006,180328.34512
trip,0,99.43,46.0,36.5,180328.34512,180365.98625
trip,0,122.71,36.5,25.2,180365.98625,180413.2774
trip,0,146.15,25.2,20.3,180413.2774,180435.57367
trip,0,60.04,20.3,21.0,180435.57367,180441.66185
charge,DC Charging,315.61,21.0,52.0,180441.66185,180441.66185
trip,0,61.18,52.0,50.9,180441.66185,180447.87947
charge,120,318.33,50.9,64.4,180447.87947,180447.87947
trip,0,92.71,64.4,55.5,180447.87947,180463.4053
charge,120,149.84,55.5,59.9,180463.4053,180463.4053
trip,0,127.24,59.9,43.1,180463.4053,180519.22926
charge,240,408.5,43.1,74.5,180519.22926,180519.22926
trip,0,85.63,74.5,73.7,180519.22926,180525.09979
trip,0,113.89,73.7,71.3,180525.09979,180537.26318
charge,240,396.11,71.3,99.4,180537.26318,180537.26318
trip,0,231.35,99.4,79.8,180537.26318,180622.69693
charge,120,173.93,79.8,84.4,180622.69693,180622.69693
trip,0,100.88,84.4,72.8,180622.69693,180666.95062
trip,0,54.95,72.8,72.3,180666.95062,180673.69865
trip,0,63.19,72.3,73.3,180673.69865,180678.63305
trip,0,141.71,73.3,65.4,180678.63305,180707.28031
trip,0,68.06,65.4,63.8,180707.28031,180716.74282
trip,0,65.42,63.8,61.9,180716.74282,180727.40489
trip,0,51.11,61.9,62.6,180727.40489,180733.05247
trip,0,52.87,62.6,63.3,180733.05247,180738.45247
trip,120,230.43,63.3,55.1,180738.45247,180764.55035
charge,DC Charging,175.49,55.1,72.2,180764.55035,180764.55035
trip,0,56.63,72.2,71.8,180764.55035,180770.30476
trip,0,59.22,71.8,71.4,180770.30476,180775.6219
charge,120,156.61,71.4,74.8,180775.6219,180775.6219
trip,0,64.34,74.8,73.3,180775.6219,180781.17166
trip,0,101.89,73.3,72.1,180781.17166,180791.33213
charge,120,383.29,72.1,82.6,180791.33213,180791.33213
trip,0,57.76,82.6,82.0,180791.33213,180797.03006
trip,0,71.27,82.0,78.6,180797.03006,180811.12093
trip,0,63.62,78.6,79.6,180811.12093,180816.26954
trip,0,98.34,79.6,72.0,180816.26954,180827.18714
charge,0,419.25,72.0,86.0,180827.18714,180827.18714
trip,0,142.59,86.0,78.8,180827.18714,180853.37108
trip,0,82.92,78.8,79.4,180853.37108,180858.42189
trip,0,60.23,79.4,77.9,180858.42189,180868.67503
trip,0,57.98,77.9,77.0,180868.67503,180877.72951
trip,0,136.4,77.0,58.1,180877.72951,180950.27589
charge,240,375.49,58.1,100.0,180950.27589,180950.27589
trip,0,143.3,100.0,79.4,180950.27589,181033.0977
trip,0,65.19,79.4,77.5,181033.0977,181044.62269
trip,0,66.73,77.5,74.9,181044.62269,181057.70517
trip,0,96.83,74.9,64.4,181057.70517,181100.16259
trip,0,113.77,64.4,51.1,181100.16259,181158.25378
charge,240,148.2,51.1,54.6,181158.25378,181158.25378
trip,0,76.69,54.6,54.0,181158.25378,181163.81348
trip,0,195.7,54.0,40.5,181163.81348,181230.21662
trip,0,124.55,40.5,27.9,181230.21662,181282.55898
charge,240,308.66,27.9,44.1,181282.55898,181282.55898
trip,0,132.96,44.1,37.1,181282.55898,181304.54013
trip,0,105.11,37.1,37.9,181304.54013,181312.5141
trip,0,67.69,37.9,38.5,181312.5141,181318.48467
trip,0,121.19,38.5,28.7,181318.48467,181347.57476
charge,240,839.31,28.7,86.7,181347.57476,181347.57476
trip,0,86.1,86.7,76.5,181347.57476,181382.33362
trip,0,58.67,76.5,75.7,181382.33362,181389.51305
trip,0,172.49,75.7,49.6,181389.51305,181485.01638
charge,120,459.65,49.6,67.8,181485.01638,181485.01638
trip,0,60.69,67.8,68.7,181485.01638,181492.40046
trip,0,62.05,68.7,67.9,181492.40046,181501.81168
trip,0,101.81,67.9,67.2,181501.81168,181511.13568
charge,120,734.92,67.2,88.7,181511.13568,181511.13568
trip,0,79.86,88.7,89.5,181511.13568,181517.27761
trip,0,87.95,89.5,88.2,181517.27761,181521.97948
trip,0,122.17,88.2,67.0,181521.97948,181607.51862
trip,0,60.11,67.0,67.7,181607.51862,181612.4661
trip,0,120.62,67.7,57.2,181612.4661,181643.29483
trip,0,66.31,57.2,58.0,181643.29483,181649.16222
trip,0,69.64,58.0,56.3,181649.16222,181658.49775
charge,120,703.17,56.3,83.3,181658.49775,181658.49775
trip,0,73.2,83.3,80.9,181658.49775,181668.05295
charge,240,280.84,80.9,98.4,181668.05295,181668.05295
trip,0,64.65,98.4,97.1,181668.05295,181678.93745
trip,0,119.7,97.1,93.7,181678.93745,181694.6228
trip,0,233.55,93.7,75.0,181694.6228,181781.45601
trip,0,83.07,75.0,71.9,181781.45601,181793.39759
trip,0,65.71,71.9,70.8,181793.39759,181801.6511
trip,0,80.68,70.8,69.3,181801.6511,181810.68619
trip,0,102.76,69.3,68.0,181810.68619,181820.90946
trip,0,59.58,68.0,67.2,181820.90946,181828.83718
trip,0,55.73,67.2,66.3,181828.83718,181835.21695
