event,charge_mode,duration_minutes,soc,end_soc,odo,end_odo
trip,0,111.11,50.0,46.2,2096.0,2119.0759
trip,0,77.63,46.2,40.7,2119.0759,2151.0081
trip,0,49.67,40.7,35.5,2151.0081,2182.72797
trip,0,19.56,35.5,34.7,2182.72797,2194.09645
charge,120,954.62,34.7,53.8,2194.09645,2194.09645
trip,0,341.61,53.8,48.3,2194.09645,2233.41154
trip,0,28.79,48.3,44.0,2233.41154,2253.93365
charge,120,46.91,44.0,50.5,2253.93365,2253.93365
trip,0,89.36,50.5,38.1,2253.93365,2309.67249
trip,0,58.98,38.1,29.0,2309.67249,2353.54845
trip,0,293.38,29.0,23.2,2353.54845,2390.27697
charge,120,98.7,23.2,26.7,2390.27697,2390.27697
trip,0,56.74,26.7,19.7,2390.27697,2426.36323
charge,DC Charging,79.84,19.7,49.4,2426.36323,2426.36323
trip,0,45.43,49.4,45.7,2426.36323,2448.43508
charge,DC Charging,44.98,45.7,79.9,2448.43508,2448.43508
trip,0,59.99,79.9,67.9,2448.43508,2505.73451
trip,0,101.34,67.9,50.2,2505.73451,2587.52692
charge,240,69.79,50.2,63.5,2587.52692,2587.52692
trip,0,34.66,63.5,58.1,2587.52692,2618.03653
trip,0,52.84,58.1,47.4,2618.03653,2662.80022
charge,120,119.0,47.4,50.6,2662.80022,2662.80022
trip,0,152.34,50.6,25.7,2662.80022,2781.08935
trip,0,15.41,25.7,22.6,2781.08935,2790.68537
charge,240,87.71,22.6,34.0,2790.68537,2790.68537
trip,0,23.15,34.0,31.2,2790.68537,2806.87903
trip,0,13.85,31.2,28.3,2806.87903,2817.43189
charge,DC Charging,37.77,28.3,49.6,2817.43189,2817.43189
trip,0,45.51,49.6,42.7,2817.43189,2851.66914
trip,0,30.48,42.7,39.7,2851.66914,2870.87864
trip,0,145.42,39.7,16.9,2870.87864,2984.9268
trip,0,53.61,16.9,8.6,2984.9268,3020.57074
charge,240,82.23,8.6,35.4,3020.57074,3020.57074
trip,0,16.43,35.4,33.6,3020.57074,3033.34475
trip,0,52.13,33.6,26.2,3033.34475,3071.31738
charge,120,379.91,26.2,36.9,3071.31738,3071.31738
trip,0,13.36,36.9,35.0,3071.31738,3081.81272
trip,0,9.09,35.0,33.2,3081.81272,3089.22343
trip,0,26.59,33.2,29.0,3089.22343,3108.32775
charge,DC Charging,89.25,29.0,48.8,3108.32775,3108.32775
trip,0,14.17,48.8,47.3,3108.32775,3116.21057
charge,240,136.33,47.3,60.7,3116.21057,3116.21057
trip,0,103.36,60.7,41.3,3116.21057,3206.05401
