event,charge_mode,duration_minutes,soc,end_soc,odo,end_odo
trip,0,94.45,100.0,88.5,2096.0,2155.40649
trip,0,22.86,88.5,86.8,2155.40649,2162.62091
charge,240,58.8,86.8,95.6,2162.62091,2162.62091
trip,0,40.48,95.6,89.3,2162.62091,2190.62263
trip,0,129.5,89.3,67.9,2190.62263,2299.02675
trip,0,24.5,67.9,65.2,2299.02675,2321.76942
trip,0,19.96,65.2,61.7,2321.76942,2337.50866
trip,0,42.5,61.7,56.4,2337.50866,2365.81724
charge,120,263.38,56.4,62.3,2365.81724,2365.81724
trip,0,34.63,62.3,58.8,2365.81724,2383.1963
trip,0,35.96,58.8,54.4,2383.1963,2412.77357
trip,0,58.14,54.4,48.7,2412.77357,2442.91178
trip,0,65.92,48.7,43.7,2442.91178,2466.30223
charge,360,46.16,43.7,63.2,2466.30223,2466.30223
trip,0,44.32,63.2,55.6,2466.30223,2502.02073
trip,0,14.95,55.6,53.9,2502.02073,2513.23515
trip,0,63.13,53.9,49.8,2513.23515,2535.11794
trip,0,85.97,49.8,48.7,2535.11794,2549.34936
charge,360,35.48,48.7,82.9,2549.34936,2549.34936
trip,0,27.69,82.9,80.5,2549.34936,2566.16456
trip,0,44.5,80.5,73.8,2566.16456,2598.0286
trip,0,97.58,73.8,59.2,2598.0286,2669.83273
trip,0,13.68,59.2,57.6,2669.83273,2681.22393
trip,0,17.96,57.6,54.7,2681.22393,2696.04121
charge,120,39.04,54.7,64.3,2696.04121,2696.04121
trip,0,198.33,64.3,37.7,2696.04121,2828.81633
trip,0,113.2,37.7,19.1,2828.81633,2918.2722
trip,0,17.96,19.1,16.3,2918.2722,2932.30931
trip,0,127.64,16.3,3.9,2932.30931,2997.59922
charge,360,36.93,3.9,27.7,2997.59922,2997.59922
trip,0,41.69,27.7,24.6,2997.59922,3015.07918
trip,0,19.01,24.6,22.9,3015.07918,3029.53608
trip,0,42.41,22.9,17.0,3029.53608,3058.99297
charge,120,425.31,17.0,31.2,3058.99297,3058.99297
trip,0,39.55,31.2,26.9,3058.99297,3081.56401
