event,charge_mode,duration_minutes,soc,end_soc,odo,end_odo
charge,DC Charging,195.22,10.0,96.3,2096.0,2096.0
trip,0,33.93,96.3,91.1,2096.0,2123.01941
trip,0,38.03,91.1,87.2,2123.01941,2148.08351
trip,0,20.57,87.2,85.8,2148.08351,2162.36306
trip,0,117.28,85.8,68.6,2162.36306,2251.3922
trip,0,134.13,68.6,49.4,2251.3922,2351.74821
trip,0,212.25,49.4,27.7,2351.74821,2485.34801
charge,120,180.39,27.7,33.1,2485.34801,2485.34801
trip,0,30.51,33.1,29.4,2485.34801,2504.71892
charge,DC Charging,36.46,29.4,64.2,2504.71892,2504.71892
trip,0,111.29,64.2,43.1,2504.71892,2610.39926
charge,DC Charging,50.21,43.1,73.1,2610.39926,2610.39926
trip,0,143.12,73.1,47.4,2610.39926,2735.55516
trip,0,91.56,47.4,44.7,2735.55516,2744.98358
trip,0,31.18,44.7,41.1,2744.98358,2761.0552
charge,240,100.25,41.1,52.8,2761.0552,2761.0552
trip,0,37.41,52.8,49.1,2761.0552,2783.66436
trip,0,60.18,49.1,41.5,2783.66436,2820.72869
trip,0,31.56,41.5,39.6,2820.72869,2836.10577
charge,120,28.62,39.6,48.6,2836.10577,2836.10577
trip,0,9.91,48.6,46.9,2836.10577,2843.95762
trip,0,67.78,46.9,37.0,2843.95762,2896.05444
charge,DC Charging,69.97,37.0,68.3,2896.05444,2896.05444
trip,0,175.88,68.3,48.5,2896.05444,3002.09148
charge,240,60.65,48.5,60.4,3002.09148,3002.09148
trip,0,146.55,60.4,44.5,3002.09148,3065.70312
trip,0,57.55,44.5,35.0,3065.70312,3104.26497
charge,240,48.53,35.0,45.0,3104.26497,3104.26497
trip,0,177.0,45.0,26.2,3104.26497,3220.59546
trip,0,41.41,26.2,21.4,3220.59546,3248.58436
trip,0,21.85,21.4,20.3,3248.58436,3262.21542
trip,0,13.55,20.3,19.5,3262.21542,3271.52815
trip,0,15.01,19.5,18.5,3271.52815,3281.73025
trip,0,15.47,18.5,17.3,3281.73025,3292.74453
trip,0,8.98,17.3,18.2,3292.74453,3299.32964
trip,0,11.8,18.2,15.9,3299.32964,3308.42519
trip,0,14.28,15.9,15.2,3308.42519,3319.28433
charge,DC Charging,60.87,15.2,48.1,3319.28433,3319.28433
trip,0,39.92,48.1,44.7,3319.28433,3339.17423
charge,120,61.9,44.7,52.1,3339.17423,3339.17423
trip,0,42.81,52.1,47.0,3339.17423,3363.56287
trip,0,59.59,47.0,37.9,3363.56287,3407.45276
trip,0,69.61,37.9,31.2,3407.45276,3432.4588
charge,DC Charging,30.94,31.2,65.0,3432.4588,3432.4588
trip,0,12.08,65.0,64.4,3432.4588,3443.5071
trip,0,103.19,64.4,51.9,3443.5071,3508.4086
trip,0,117.46,51.9,37.6,3508.4086,3582.26239
