event,charge_mode,duration_minutes,soc,end_soc,odo,end_odo
charge,240,171.6,32.5,42.2,2096.0,2096.0
trip,0,38.77,42.2,40.5,2096.0,2112.60515
trip,0,67.93,40.5,31.5,2112.60515,2158.90838
charge,DC Charging,46.32,31.5,65.7,2158.90838,2158.90838
trip,0,131.48,65.7,47.6,2158.90838,2258.73269
trip,0,70.2,47.6,39.3,2258.73269,2292.34676
trip,0,28.24,39.3,38.1,2292.34676,2305.41546
trip,0,42.7,38.1,34.2,2305.41546,2325.23889
charge,120,143.58,34.2,42.5,2325.23889,2325.23889
trip,0,31.58,42.5,40.7,2325.23889,2341.38811
charge,DC Charging,41.76,40.7,77.4,2341.38811,2341.38811
trip,0,39.23,77.4,78.2,2341.38811,2347.01859
trip,0,32.31,78.2,75.9,2347.01859,2362.07993
charge,120,155.01,75.9,82.4,2362.07993,2362.07993
trip,0,99.9,82.4,67.0,2362.07993,2427.86183
trip,0,175.68,67.0,40.5,2427.86183,2572.49206
trip,0,36.64,40.5,37.1,2572.49206,2589.58052
charge,0,103.9,37.1,41.2,2589.58052,2589.58052
trip,0,37.78,41.2,38.2,2589.58052,2608.09795
trip,0,36.15,38.2,39.2,2608.09795,2615.55151
trip,0,60.81,39.2,31.1,2615.55151,2650.70519
trip,0,90.12,31.1,18.2,2650.70519,2711.88615
charge,120,445.14,18.2,26.8,2711.88615,2711.88615
trip,0,55.63,26.8,21.6,2711.88615,2737.62143
trip,0,57.61,21.6,15.2,2737.62143,2769.16961
charge,DC Charging,49.12,15.2,45.4,2769.16961,2769.16961
trip,0,119.44,45.4,28.8,2769.16961,2857.18179
trip,0,30.2,28.8,27.5,2857.18179,2868.47792
charge,DC Charging,161.15,27.5,99.3,2868.47792,2868.47792
trip,0,59.73,99.3,91.4,2868.47792,2898.56187
trip,0,140.82,91.4,72.1,2898.56187,2999.61848
trip,0,68.46,72.1,61.8,2999.61848,3045.8092
trip,0,72.86,61.8,54.0,3045.8092,3076.51675
charge,240,141.04,54.0,64.0,3076.51675,3076.51675
trip,0,106.2,64.0,51.3,3076.51675,3148.78932
trip,0,37.01,51.3,49.6,3148.78932,3160.4584
trip,0,33.09,49.6,47.1,3160.4584,3176.68912
charge,240,53.2,47.1,63.1,3176.68912,3176.68912
trip,0,128.38,63.1,43.9,3176.68912,3271.83358
trip,0,86.29,43.9,34.2,3271.83358,3321.0027
charge,120,197.44,34.2,40.9,3321.0027,3321.0027
trip,0,123.13,40.9,26.0,3321.0027,3390.58884
charge,120,504.45,26.0,38.3,3390.58884,3390.58884
trip,0,97.58,38.3,24.8,3390.58884,3446.28518
trip,0,84.92,24.8,18.7,3446.28518,3475.54271
charge,240,122.02,18.7,30.1,3475.54271,3475.54271
trip,0,36.18,30.1,28.5,3475.54271,3491.06766
trip,0,90.56,28.5,14.5,3491.06766,3561.18598
charge,DC Charging,182.14,14.5,69.4,3561.18598,3561.18598
trip,0,80.44,69.4,59.1,3561.18598,3614.82727
trip,0,37.96,59.1,55.1,3614.82727,3635.23218
charge,DC Charging,53.79,55.1,75.2,3635.23218,3635.23218
trip,0,57.56,75.2,68.8,3635.23218,3659.10801
charge,240,56.86,68.8,83.5,3659.10801,3659.10801
trip,0,111.58,83.5,67.8,3659.10801,3741.67567
charge,240,50.03,67.8,81.8,3741.67567,3741.67567
trip,0,34.46,81.8,79.7,3741.67567,3758.57178
trip,0,35.59,79.7,78.5,3758.57178,3767.31969
trip,0,153.94,78.5,57.5,3767.31969,3878.72036
charge,0,110.67,57.5,63.2,3878.72036,3878.72036
trip,0,59.25,63.2,56.8,3878.72036,3913.66014
trip,0,49.28,56.8,54.9,3913.66014,3926.85865
trip,0,59.62,54.9,45.6,3926.85865,3968.67494
trip,0,35.71,45.6,43.1,3968.67494,3985.68218
trip,0,36.19,43.1,41.9,3985.68218,3999.18849
charge,120,295.64,41.9,49.4,3999.18849,3999.18849
trip,0,87.29,49.4,37.4,3999.18849,4051.88693
trip,0,48.23,37.4,32.0,4051.88693,4080.01271
trip,0,28.35,32.0,31.0,4080.01271,4093.5243
trip,0,37.0,31.0,27.8,4093.5243,4113.00504
charge,DC Charging,46.47,27.8,60.2,4113.00504,4113.00504
trip,0,168.02,60.2,34.5,4113.00504,4249.60347
trip,0,184.86,34.5,13.0,4249.60347,4367.33535
trip,0,46.09,13.0,7.9,4367.33535,4393.42393
charge,DC Charging,45.55,7.9,37.6,4393.42393,4393.42393
trip,0,27.78,37.6,36.6,4393.42393,4405.31789
charge,0,54.47,36.6,38.5,4405.31789,4405.31789
trip,0,90.02,38.5,26.1,4405.31789,4461.20506
trip,0,50.24,26.1,23.1,4461.20506,4475.49179
trip,0,31.7,23.1,21.4,4475.49179,4488.1696
charge,240,96.13,21.4,29.3,4488.1696,4488.1696
trip,0,59.88,29.3,25.2,4488.1696,4514.25505
charge,DC Charging,137.02,25.2,51.4,4514.25505,4514.25505
trip,0,31.27,51.4,50.0,4514.25505,4526.33073
charge,120,77.47,50.0,53.6,4526.33073,4526.33073
trip,0,63.07,53.6,52.9,4526.33073,4537.97342
trip,0,51.99,52.9,49.1,4537.97342,4557.64744
charge,240,71.19,49.1,60.9,4557.64744,4557.64744
trip,0,146.96,60.9,42.1,4557.64744,4675.86786
trip,0,36.19,42.1,41.7,4675.86786,4683.8053
charge,120,54.29,41.7,45.3,4683.8053,4683.8053
trip,0,69.89,45.3,35.7,4683.8053,4730.7813
trip,0,88.84,35.7,23.5,4730.7813,4785.81374
charge,DC Charging,45.18,23.5,53.1,4785.81374,4785.81374
trip,0,90.99,53.1,40.1,4785.81374,4852.94322
trip,0,52.94,40.1,33.0,4852.94322,4886.82118
charge,DC Charging,46.6,33.0,65.5,4886.82118,4886.82118
trip,0,55.58,65.5,63.9,4886.82118,4910.10359
trip,120,96.0,63.9,62.1,4910.10359,4939.8103
charge,240,84.04,62.1,70.2,4939.8103,4939.8103
trip,0,60.08,70.2,62.6,4939.8103,4977.43904
charge,DC Charging,45.45,62.6,92.0,4977.43904,4977.43904
trip,0,60.2,92.0,85.0,4977.43904,5014.89185
trip,0,68.36,85.0,77.6,5014.89185,5056.56275
trip,0,61.37,77.6,70.1,5056.56275,5088.75796
trip,0,37.87,70.1,67.9,5088.75796,5104.72258
charge,120,336.91,67.9,77.5,5104.72258,5104.72258
trip,0,36.44,77.5,76.7,5104.72258,5117.74524
charge,120,191.86,76.7,83.4,5117.74524,5117.74524
trip,0,73.03,83.4,75.1,5117.74524,5158.91026
trip,0,37.92,75.1,73.4,5158.91026,5173.96
trip,0,32.1,73.4,71.3,5173.96,5189.3911
trip,0,119.27,71.3,54.2,5189.3911,5277.54981
trip,0,132.33,54.2,37.1,5277.54981,5374.48072
trip,0,48.52,37.1,35.6,5374.48072,5385.02117
trip,0,29.46,35.6,34.6,5385.02117,5398.5237
trip,0,40.09,34.6,30.8,5398.5237,5418.62416
charge,120,71.68,30.8,32.6,5418.62416,5418.62416
