event,charge_mode,duration_minutes,soc,end_soc,odo,end_odo
trip,0,122.62,100.0,96.6,2096.0,2118.77241
trip,0,67.46,96.6,86.3,2118.77241,2170.60421
trip,0,17.42,86.3,85.0,2170.60421,2184.03109
trip,0,49.74,85.0,79.5,2184.03109,2212.77946
charge,120,788.22,79.5,97.3,2212.77946,2212.77946
trip,0,154.1,97.3,73.9,2212.77946,2324.02942
trip,0,43.05,73.9,67.4,2324.02942,2359.32289
charge,DC Charging,94.66,67.4,90.1,2359.32289,2359.32289
trip,0,110.62,90.1,71.7,2359.32289,2445.8319
charge,DC Charging,38.36,71.7,91.5,2445.8319,2445.8319
trip,0,80.66,91.5,76.8,2445.8319,2512.99042
charge,120,188.92,76.8,81.9,2512.99042,2512.99042
trip,0,25.57,81.9,80.6,2512.99042,2528.30211
trip,0,106.9,80.6,73.2,2528.30211,2570.03783
trip,0,33.11,73.2,68.5,2570.03783,2593.48129
trip,0,90.29,68.5,53.2,2593.48129,2668.52526
charge,DC Charging,56.65,53.2,82.9,2668.52526,2668.52526
trip,0,237.24,82.9,81.0,2668.52526,2691.30077
trip,0,120.11,81.0,61.8,2691.30077,2783.35931
charge,120,686.21,61.8,82.2,2783.35931,2783.35931
trip,0,10.38,82.2,79.8,2783.35931,2793.1086
trip,0,32.48,79.8,74.2,2793.1086,2820.32333
trip,0,34.27,74.2,69.5,2820.32333,2844.66537
charge,240,90.86,69.5,82.0,2844.66537,2844.66537
trip,0,40.36,82.0,78.2,2844.66537,2870.28778
trip,0,163.12,78.2,54.7,2870.28778,2992.13648
trip,0,13.24,54.7,51.2,2992.13648,3003.05276
charge,DC Charging,32.94,51.2,73.5,3003.05276,3003.05276
trip,0,17.36,73.5,71.1,3003.05276,3017.24829
trip,0,19.68,71.1,69.3,3017.24829,3032.98167
trip,0,68.54,69.3,59.7,3032.98167,3080.08883
charge,120,531.25,59.7,72.0,3080.08883,3080.08883
trip,0,15.92,72.0,70.7,3080.08883,3087.31088
trip,0,18.26,70.7,68.3,3087.31088,3098.97187
trip,0,63.37,68.3,56.8,3098.97187,3154.92812
trip,0,24.82,56.8,52.4,3154.92812,3176.34207
trip,0,38.59,52.4,48.9,3176.34207,3200.93583
trip,0,105.38,48.9,34.1,3200.93583,3283.72549
charge,DC Charging,42.25,34.1,69.8,3283.72549,3283.72549
trip,0,61.98,69.8,59.7,3283.72549,3322.94415
trip,0,217.55,59.7,29.2,3322.94415,3488.20587
trip,0,187.67,29.2,19.1,3488.20587,3535.59817
charge,DC Charging,39.71,19.1,50.4,3535.59817,3535.59817
trip,0,106.0,50.4,29.5,3535.59817,3638.74426
trip,0,13.42,29.5,28.0,3638.74426,3649.42921
trip,0,53.0,28.0,20.7,3649.42921,3683.46435
trip,0,58.81,20.7,11.9,3683.46435,3730.76047
trip,0,28.83,11.9,8.8,3730.76047,3753.12682
trip,0,11.41,8.8,7.4,3753.12682,3761.33534
charge,DC Charging,87.48,7.4,79.6,3761.33534,3761.33534
trip,0,85.6,79.6,75.0,3761.33534,3784.40143
charge,240,82.26,75.0,92.4,3784.40143,3784.40143
trip,0,114.61,92.4,81.3,3784.40143,3844.40706
trip,0,19.47,81.3,79.0,3844.40706,3859.2685
trip,0,29.56,79.0,76.5,3859.2685,3868.67389
trip,0,57.88,76.5,65.5,3868.67389,3921.45772
charge,240,62.75,65.5,80.4,3921.45772,3921.45772
trip,0,175.11,80.4,62.6,3921.45772,4013.14983
trip,0,47.33,62.6,57.3,4013.14983,4043.31811
trip,0,30.41,57.3,56.3,4043.31811,4051.40016
trip,0,77.42,56.3,42.6,4051.40016,4115.64706
trip,0,13.19,42.6,40.3,4115.64706,4125.69775
trip,0,39.47,40.3,33.2,4125.69775,4155.08534
charge,DC Charging,31.74,33.2,54.3,4155.08534,4155.08534
