odo,end_odo,soc,end_soc
4436.64,4439.47,56.4,54.9
4439.47,4439.47,54.9,100.0
4439.47,4442.5,100.0,100.0
4442.5,4457.13,100.0,94.5
4457.13,4461.45,94.5,94.5
4461.45,4461.48,94.1,94.1
4461.48,4480.75,93.7,89.4
4480.75,4560.17,89.0,70.1
4560.17,4560.36,70.1,70.1
4560.36,4656.94,70.5,43.9
4656.94,4658.23,43.5,43.5
4658.23,4658.23,43.5,46.6
4658.23,4658.91,46.6,46.6
4658.92,4662.39,46.6,45.4
4662.39,4665.2,45.8,45.0
4665.2,4665.2,45.0,45.0
4665.2,4667.95,45.0,44.3
4667.95,4667.95,44.3,72.5
4667.95,4768.39,72.5,48.6
4768.39,4865.61,48.2,16.4
4865.61,4868.42,16.8,16.0
4868.42,4868.42,16.0,16.0
4868.42,4868.42,16.0,16.0
4868.42,4868.42,16.0,58.4
4868.42,4870.95,58.4,58.8
4870.95,4880.48,59.2,58.4
4880.48,4880.48,58.0,59.6
4880.48,4880.48,59.6,59.6
4880.48,4880.48,59.6,81.1
4880.48,4973.09,81.1,60.7
4973.09,4973.25,60.7,60.7
4973.25,4974.08,60.7,60.3
