event,charge_mode,duration_minutes,soc,end_soc,odo,end_odo
trip,0,214.67,100.0,78.0,2096.0,2205.79841
trip,0,25.94,78.0,74.4,2205.79841,2225.25188
trip,0,24.29,74.4,72.2,2225.25188,2232.65703
charge,120,90.84,72.2,76.0,2232.65703,2232.65703
trip,0,9.44,76.0,74.3,2232.65703,2241.23752
trip,0,24.95,74.3,70.4,2241.23752,2258.93327
charge,DC Charging,79.46,70.4,98.8,2258.93327,2258.93327
trip,0,288.82,98.8,89.0,2258.93327,2315.0682
trip,0,113.49,89.0,71.3,2315.0682,2403.22751
trip,0,19.35,71.3,69.1,2403.22751,2417.78421
trip,0,56.04,69.1,60.8,2417.78421,2459.55707
trip,0,13.08,60.8,59.3,2459.55707,2469.91759
trip,0,47.09,59.3,53.2,2469.91759,2502.30269
charge,120,1427.35,53.2,76.3,2502.30269,2502.30269
trip,0,586.95,76.3,67.5,2502.30269,2561.19004
charge,120,286.13,67.5,68.3,2561.19004,2561.19004
trip,0,102.26,68.3,49.6,2561.19004,2649.9292
charge,120,105.73,49.6,53.2,2649.9292,2649.9292
trip,0,9.85,53.2,50.9,2649.9292,2657.70228
trip,0,10.23,50.9,49.3,2657.70228,2666.40008
trip,0,60.53,49.3,39.4,2666.40008,2713.28568
trip,0,23.17,39.4,37.9,2713.28568,2728.22693
trip,0,33.54,37.9,35.0,2728.22693,2743.98195
charge,120,425.39,35.0,51.0,2743.98195,2743.98195
trip,0,17.68,51.0,48.8,2743.98195,2756.51455
trip,0,22.91,48.8,47.5,2756.51455,2768.84678
charge,120,704.4,47.5,60.3,2768.84678,2768.84678
trip,0,11.5,60.3,58.8,2768.84678,2777.92945
trip,0,49.11,58.8,51.3,2777.92945,2814.39382
trip,0,61.78,51.3,41.4,2814.39382,2866.02965
charge,240,106.14,41.4,51.4,2866.02965,2866.02965
trip,0,54.19,51.4,45.1,2866.02965,2901.77551
trip,0,119.93,45.1,26.3,2901.77551,2999.1644
trip,0,18.17,26.3,24.0,2999.1644,3010.57437
trip,0,10.25,24.0,22.4,3010.57437,3019.1161
charge,DC Charging,49.05,22.4,42.4,3019.1161,3019.1161
trip,0,183.4,42.4,13.2,3019.1161,3168.68431
trip,0,29.86,13.2,9.1,3168.68431,3194.04814
trip,0,12.25,9.1,8.1,3194.04814,3204.58426
charge,DC Charging,158.83,8.1,70.0,3204.58426,3204.58426
trip,0,158.13,70.0,43.4,3204.58426,3335.38968
trip,0,127.35,43.4,21.2,3335.38968,3448.75531
charge,DC Charging,69.31,21.2,90.9,3448.75531,3448.75531
charge,120,182.54,90.9,95.4,3448.75531,3448.75531
trip,0,82.53,95.4,86.7,3448.75531,3485.29326
trip,0,90.15,86.7,76.8,3485.29326,3538.47834
trip,0,60.11,76.8,70.6,3538.47834,3572.23791
trip,0,122.58,70.6,51.3,3572.23791,3670.48196
trip,0,26.05,51.3,48.5,3670.48196,3691.23213
trip,0,24.33,48.5,46.3,3691.23213,3712.73725
trip,0,30.3,46.3,40.5,3712.73725,3739.8602
trip,0,26.48,40.5,36.5,3739.8602,3756.68467
charge,DC Charging,40.21,36.5,67.5,3756.68467,3756.68467
trip,0,237.54,67.5,49.1,3756.68467,3851.19596
trip,0,15.2,49.1,46.8,3851.19596,3863.68455
trip,0,62.26,46.8,35.4,3863.68455,3917.00026
trip,0,32.24,35.4,31.2,3917.00026,3940.98325
charge,120,116.77,31.2,35.6,3940.98325,3940.98325
trip,0,28.64,35.6,31.8,3940.98325,3960.47746
charge,DC Charging,80.27,31.8,61.9,3960.47746,3960.47746
trip,0,21.15,61.9,61.0,3960.47746,3974.65476
trip,0,27.6,61.0,57.5,3974.65476,3995.58385
trip,0,44.69,57.5,53.0,3995.58385,4022.42076
trip,0,267.71,53.0,41.6,4022.42076,4080.39329
charge,240,30.98,41.6,63.3,4080.39329,4080.39329
trip,0,84.41,63.3,46.8,4080.39329,4156.69709
trip,0,23.3,46.8,43.7,4156.69709,4172.6868
trip,0,104.45,43.7,28.8,4172.6868,4239.3091
charge,120,425.27,28.8,41.5,4239.3091,4239.3091
trip,0,64.42,41.5,36.9,4239.3091,4265.71867
charge,120,291.27,36.9,44.4,4265.71867,4265.71867
trip,0,18.09,44.4,41.5,4265.71867,4275.56241
charge,120,197.23,41.5,49.9,4275.56241,4275.56241
trip,0,19.77,49.9,47.6,4275.56241,4286.65688
charge,120,235.08,47.6,53.5,4286.65688,4286.65688
trip,0,19.61,53.5,51.5,4286.65688,4299.73607
trip,0,13.53,51.5,50.1,4299.73607,4306.70551
charge,240,78.7,50.1,56.7,4306.70551,4306.70551
trip,0,113.0,56.7,36.0,4306.70551,4404.34666
trip,0,123.16,36.0,21.1,4404.34666,4472.81201
charge,120,119.88,21.1,25.9,4472.81201,4472.81201
trip,0,38.36,25.9,20.4,4472.81201,4503.48962
trip,0,32.83,20.4,15.4,4503.48962,4530.71941
charge,DC Charging,119.64,15.4,77.3,4530.71941,4530.71941
trip,0,71.92,77.3,67.8,4530.71941,4583.94091
charge,DC Charging,43.19,67.8,98.7,4583.94091,4583.94091
trip,0,32.37,98.7,93.5,4583.94091,4607.916
trip,0,158.85,93.5,82.4,4607.916,4664.10753
trip,0,18.82,82.4,80.9,4664.10753,4670.30092
trip,0,17.67,80.9,79.3,4670.30092,4683.88488
trip,0,114.38,79.3,59.0,4683.88488,4783.35784
trip,0,10.99,59.0,57.0,4783.35784,4792.95223
trip,0,8.3,57.0,55.5,4792.95223,4799.47426
trip,0,24.21,55.5,52.7,4799.47426,4815.56146
trip,0,181.19,52.7,48.4,4815.56146,4846.78901
charge,120,740.82,48.4,68.3,4846.78901,4846.78901
trip,0,12.01,68.3,66.5,4846.78901,4856.65739
trip,0,18.03,66.5,64.6,4856.65739,4862.97227
charge,DC Charging,37.79,64.6,88.1,4862.97227,4862.97227
trip,0,23.43,88.1,84.4,4862.97227,4880.05417
trip,0,41.12,84.4,79.6,4880.05417,4902.09663
charge,240,70.2,79.6,88.4,4902.09663,4902.09663
trip,0,51.87,88.4,78.6,4902.09663,4942.83318
trip,0,134.42,78.6,58.3,4942.83318,5044.51467
trip,0,11.62,58.3,56.5,5044.51467,5053.83221
trip,0,37.92,56.5,51.1,5053.83221,5081.96637
charge,120,324.93,51.1,59.0,5081.96637,5081.96637
charge,240,65.1,59.0,74.7,5081.96637,5081.96637
trip,0,20.83,74.7,73.2,5081.96637,5096.35244
charge,120,81.39,73.2,78.8,5096.35244,5096.35244
trip,0,42.34,78.8,78.2,5096.35244,5101.9161
charge,120,103.83,78.2,83.8,5101.9161,5101.9161
trip,0,34.48,83.8,79.0,5101.9161,5128.27458
trip,0,32.93,79.0,77.0,5128.27458,5139.60634
trip,0,107.52,77.0,58.7,5139.60634,5228.50783
trip,0,38.43,58.7,54.3,5228.50783,5254.39198
trip,0,37.68,54.3,46.9,5254.39198,5284.51611
trip,0,101.04,46.9,35.7,5284.51611,5338.79677
charge,DC Charging,88.91,35.7,58.4,5338.79677,5338.79677
trip,0,44.78,58.4,53.3,5338.79677,5368.04439
trip,0,180.03,53.3,27.3,5368.04439,5506.92629
trip,0,124.18,27.3,6.7,5506.92629,5610.55601
trip,0,29.08,6.7,6.1,5610.55601,5618.0613
charge,DC Charging,77.27,6.1,59.9,5618.0613,5618.0613
trip,0,21.83,59.9,56.8,5618.0613,5633.65232
trip,0,59.76,56.8,44.3,5633.65232,5688.76151
trip,0,18.47,44.3,40.5,5688.76151,5700.50539
charge,DC Charging,60.17,40.5,95.7,5700.50539,5700.50539
trip,0,27.55,95.7,91.9,5700.50539,5715.22517
trip,0,141.82,91.9,78.0,5715.22517,5790.10284
trip,0,60.02,78.0,71.4,5790.10284,5827.12521
trip,0,107.16,71.4,61.7,5827.12521,5876.34057
trip,0,74.9,61.7,50.1,5876.34057,5933.01373
trip,0,39.67,50.1,46.1,5933.01373,5954.52873
trip,0,72.63,46.1,36.7,5954.52873,6001.39296
trip,0,30.76,36.7,34.7,6001.39296,6014.89494
trip,0,113.84,34.7,27.0,6014.89494,6061.75661
charge,120,770.09,27.0,40.0,6061.75661,6061.75661
trip,0,298.86,40.0,25.6,6061.75661,6139.1465
trip,0,16.31,25.6,23.4,6139.1465,6151.80846
trip,0,16.79,23.4,21.1,6151.80846,6165.06018
charge,120,127.71,21.1,27.0,6165.06018,6165.06018
charge,DC Charging,80.16,27.0,79.8,6165.06018,6165.06018
trip,0,80.66,79.8,65.1,6165.06018,6232.2187
charge,120,188.92,65.1,70.2,6232.2187,6232.2187
trip,0,25.57,70.2,68.9,6232.2187,6247.53039
trip,0,106.9,68.9,61.5,6247.53039,6289.26611
trip,0,33.11,61.5,56.8,6289.26611,6312.70957
trip,0,90.29,56.8,41.5,6312.70957,6387.75354
charge,DC Charging,56.65,41.5,71.1,6387.75354,6387.75354
trip,0,237.24,71.1,69.3,6387.75354,6410.52905
trip,0,120.11,69.3,50.1,6410.52905,6502.58759
charge,120,173.14,50.1,57.8,6502.58759,6502.58759
trip,0,55.76,57.8,48.9,6502.58759,6541.15647
charge,120,188.81,48.9,57.2,6541.15647,6541.15647
trip,0,98.59,57.2,38.8,6541.15647,6625.98177
trip,0,16.89,38.8,34.6,6625.98177,6640.16505
charge,DC Charging,37.77,34.6,59.1,6640.16505,6640.16505
trip,0,37.29,59.1,52.6,6640.16505,6670.85557
trip,0,25.86,52.6,49.9,6670.85557,6691.47521
trip,0,76.94,49.9,36.9,6691.47521,6755.99083
charge,DC Charging,34.04,36.9,70.5,6755.99083,6755.99083
trip,0,21.83,70.5,65.4,6755.99083,6774.75127
charge,240,50.6,65.4,72.2,6774.75127,6774.75127
trip,0,11.65,72.2,70.1,6774.75127,6783.23405
trip,0,18.93,70.1,68.2,6783.23405,6797.65834
trip,0,20.49,68.2,66.0,6797.65834,6810.87606
trip,0,26.0,66.0,63.6,6810.87606,6828.72625
trip,0,59.2,63.6,57.8,6828.72625,6858.93927
charge,120,155.54,57.8,64.5,6858.93927,6858.93927
trip,0,191.64,64.5,36.6,6858.93927,7005.76923
trip,0,33.81,36.6,32.1,7005.76923,7032.36595
trip,0,13.3,32.1,29.7,7032.36595,7041.68295
charge,120,120.62,29.7,34.4,7041.68295,7041.68295
trip,0,37.21,34.4,35.1,7041.68295,7045.70047
trip,0,29.94,35.1,32.2,7045.70047,7065.18686
charge,240,54.73,32.2,50.3,7065.18686,7065.18686
trip,0,18.06,50.3,50.9,7065.18686,7070.51176
trip,0,9.78,50.9,48.9,7070.51176,7078.03029
trip,0,9.6,48.9,46.9,7078.03029,7086.308
trip,0,179.69,46.9,26.2,7086.308,7195.44781
trip,0,33.97,26.2,21.8,7195.44781,7219.34207
trip,0,42.09,21.8,14.7,7219.34207,7254.35001
charge,DC Charging,39.67,14.7,43.1,7254.35001,7254.35001
trip,0,58.52,43.1,44.0,7254.35001,7260.3165
charge,240,82.48,44.0,68.0,7260.3165,7260.3165
trip,0,21.1,68.0,65.7,7260.3165,7275.28843
trip,0,14.1,65.7,64.5,7275.28843,7287.2711
trip,0,109.59,64.5,49.8,7287.2711,7363.58735
trip,0,13.24,49.8,46.3,7363.58735,7374.50363
charge,DC Charging,32.94,46.3,68.5,7374.50363,7374.50363
trip,0,17.36,68.5,66.1,7374.50363,7388.69916
trip,0,19.68,66.1,64.3,7388.69916,7404.43254
trip,0,68.54,64.3,54.8,7404.43254,7451.5397
charge,120,531.25,54.8,67.0,7451.5397,7451.5397
trip,0,15.92,67.0,65.8,7451.5397,7458.76174
trip,0,18.26,65.8,63.4,7458.76174,7470.42273
trip,0,63.37,63.4,51.8,7470.42273,7526.37899
trip,0,25.1,51.8,48.9,7526.37899,7539.43825
charge,120,181.02,48.9,54.6,7539.43825,7539.43825
trip,0,58.45,54.6,45.2,7539.43825,7581.39112
trip,0,34.13,45.2,42.3,7581.39112,7598.58433
trip,0,30.36,42.3,38.6,7598.58433,7623.64311
trip,0,13.71,38.6,36.6,7623.64311,7635.31132
charge,DC Charging,37.72,36.6,72.3,7635.31132,7635.31132
trip,0,72.14,72.3,57.8,7635.31132,7701.64423
trip,0,29.72,57.8,56.1,7701.64423,7723.46496
trip,0,113.81,56.1,43.4,7723.46496,7791.47346
trip,0,36.24,43.4,42.2,7791.47346,7797.73097
charge,120,181.59,42.2,51.9,7797.73097,7797.73097
trip,0,73.7,51.9,42.6,7797.73097,7837.78477
charge,120,164.98,42.6,47.0,7837.78477,7837.78477
trip,0,36.4,47.0,45.2,7837.78477,7844.77545
charge,120,20.31,45.2,54.8,7844.77545,7844.77545
trip,0,11.77,54.8,52.9,7844.77545,7855.6278
charge,DC Charging,115.34,52.9,73.0,7855.6278,7855.6278
trip,0,154.4,73.0,50.2,7855.6278,7964.77868
charge,240,39.33,50.2,64.6,7964.77868,7964.77868
trip,0,88.3,64.6,48.2,7964.77868,8038.87929
trip,0,21.32,48.2,45.1,8038.87929,8054.08825
trip,0,75.23,45.1,35.8,8054.08825,8106.19864
trip,0,19.14,35.8,33.5,8106.19864,8119.01218
charge,120,1067.15,33.5,48.6,8119.01218,8119.01218
trip,0,164.25,48.6,24.6,8119.01218,8235.70416
trip,0,67.1,24.6,15.8,8235.70416,8280.51353
charge,120,954.09,15.8,35.6,8280.51353,8280.51353
trip,0,20.64,35.6,33.8,8280.51353,8290.25007
trip,0,93.11,33.8,24.7,8290.25007,8328.31219
charge,DC Charging,75.93,24.7,70.4,8328.31219,8328.31219
trip,0,12.32,70.4,68.4,8328.31219,8336.89229
trip,0,27.89,68.4,65.4,8336.89229,8352.23363
trip,0,67.18,65.4,60.8,8352.23363,8378.61095
trip,0,142.73,60.8,40.5,8378.61095,8477.77321
trip,0,12.36,40.5,38.0,8477.77321,8487.91092
trip,0,12.68,38.0,35.9,8487.91092,8497.57935
trip,0,30.76,35.9,34.2,8497.57935,8510.11406
trip,0,69.78,34.2,26.9,8510.11406,8545.93385
charge,120,226.82,26.9,37.8,8545.93385,8545.93385
trip,0,45.97,37.8,30.1,8545.93385,8581.05399
charge,240,58.1,30.1,40.5,8581.05399,8581.05399
charge,120,298.76,40.5,43.2,8581.05399,8581.05399
trip,0,13.58,43.2,41.3,8581.05399,8590.23665
trip,0,8.4,41.3,39.8,8590.23665,8598.01333
charge,240,18.74,39.8,56.6,8598.01333,8598.01333
trip,0,22.74,56.6,55.6,8598.01333,8615.06311
trip,0,46.05,55.6,50.8,8615.06311,8644.17362
trip,0,105.44,50.8,33.1,8644.17362,8730.11974
trip,0,16.14,33.1,30.8,8730.11974,8741.13097
trip,0,18.14,30.8,29.1,8741.13097,8755.44422
trip,0,20.98,29.1,27.4,8755.44422,8773.89986
charge,DC Charging,39.54,27.4,59.1,8773.89986,8773.89986
trip,0,43.19,59.1,53.4,8773.89986,8807.93974
trip,0,17.01,53.4,52.0,8807.93974,8820.87767
trip,0,37.77,52.0,46.6,8820.87767,8850.64746
trip,0,54.06,46.6,39.2,8850.64746,8885.18442
charge,240,74.44,39.2,54.1,8885.18442,8885.18442
trip,0,55.12,54.1,48.2,8885.18442,8916.14067
trip,0,60.29,48.2,42.0,8916.14067,8943.21608
charge,120,78.13,42.0,47.3,8943.21608,8943.21608
trip,0,32.35,47.3,45.4,8943.21608,8950.66779
charge,120,151.68,45.4,50.1,8950.66779,8950.66779
trip,0,108.66,50.1,45.9,8950.66779,8975.2503
trip,0,31.63,45.9,45.1,8975.2503,8981.10121
trip,0,66.45,45.1,41.3,8981.10121,9000.70469
trip,0,104.33,41.3,28.1,9000.70469,9071.73129
trip,0,28.68,28.1,25.1,9071.73129,9086.67599
charge,120,89.92,25.1,30.5,9086.67599,9086.67599
trip,0,16.97,30.5,28.2,9086.67599,9098.41221
trip,0,48.23,28.2,21.1,9098.41221,9135.30362
trip,0,13.37,21.1,19.6,9135.30362,9145.7724
charge,120,222.99,19.6,21.9,9145.7724,9145.7724
trip,0,20.01,21.9,19.2,9145.7724,9158.83915
charge,120,343.81,19.2,29.7,9158.83915,9158.83915
trip,0,112.98,29.7,16.9,9158.83915,9221.91638
charge,120,49.15,16.9,21.2,9221.91638,9221.91638
trip,0,48.46,21.2,14.2,9221.91638,9257.13331
charge,120,409.6,14.2,20.7,9257.13331,9257.13331
trip,0,57.25,20.7,13.0,9257.13331,9295.98263
charge,DC Charging,78.72,13.0,86.2,9295.98263,9295.98263
charge,240,48.75,86.2,94.8,9295.98263,9295.98263
trip,0,15.05,94.8,92.4,9295.98263,9306.91092
trip,0,143.71,92.4,72.8,9306.91092,9400.26606
trip,0,158.87,72.8,64.6,9400.26606,9440.92831
trip,0,143.36,64.6,42.2,9440.92831,9556.73035
charge,DC Charging,90.69,42.2,59.1,9556.73035,9556.73035
trip,0,71.67,59.1,46.2,9556.73035,9612.16432
charge,240,41.29,46.2,57.8,9612.16432,9612.16432
trip,0,20.8,57.8,55.4,9612.16432,9629.29286
trip,0,8.96,55.4,54.5,9629.29286,9637.14624
trip,0,69.89,54.5,43.3,9637.14624,9690.00291
trip,0,37.97,43.3,38.7,9690.00291,9709.20238
trip,0,173.76,38.7,15.3,9709.20238,9834.6374
charge,DC Charging,89.47,15.3,46.0,9834.6374,9834.6374
trip,0,75.63,46.0,33.0,9834.6374,9893.12619
charge,120,173.39,33.0,42.0,9893.12619,9893.12619
trip,0,24.93,42.0,38.7,9893.12619,9909.02692
charge,120,241.81,38.7,47.9,9909.02692,9909.02692
trip,0,15.58,47.9,46.1,9909.02692,9918.66224
charge,120,1245.98,46.1,64.5,9918.66224,9918.66224
trip,0,68.76,64.5,59.4,9918.66224,9954.10925
charge,120,164.51,59.4,62.4,9954.10925,9954.10925
trip,0,166.37,62.4,38.8,9954.10925,10068.09437
charge,120,77.48,38.8,38.9,10068.09437,10068.09437
trip,0,163.44,38.9,27.9,10068.09437,10119.72872
trip,0,32.86,27.9,26.9,10119.72872,10125.19309
trip,0,103.56,26.9,14.9,10125.19309,10187.12903
charge,120,342.99,14.9,22.1,10187.12903,10187.12903
trip,0,54.4,22.1,13.2,10187.12903,10230.13175
charge,DC Charging,36.42,13.2,46.1,10230.13175,10230.13175
trip,0,20.04,46.1,42.7,10230.13175,10245.79419
trip,0,31.59,42.7,39.2,10245.79419,10267.47038
charge,120,1737.42,39.2,62.7,10267.47038,10267.47038
trip,0,45.51,62.7,55.8,10267.47038,10301.70763
trip,0,30.48,55.8,52.8,10301.70763,10320.91713
trip,0,145.42,52.8,30.0,10320.91713,10434.96529
trip,0,53.61,30.0,21.7,10434.96529,10470.60923
charge,240,82.23,21.7,48.5,10470.60923,10470.60923
trip,0,16.43,48.5,46.7,10470.60923,10483.38324
trip,0,52.13,46.7,39.3,10483.38324,10521.35587
charge,120,379.91,39.3,50.0,10521.35587,10521.35587
trip,0,37.77,50.0,45.0,10521.35587,10544.69132
