vin,event,charge_mode,duration_minutes,soc,end_soc,odo,end_odo
-2.47174e+18,trip,0,53.86,100.0,98.8,2096.0,2114.6588
-2.47174e+18,trip,0,30.32,98.8,96.8,2114.6588,2128.22315
-2.47174e+18,trip,0,35.9,96.8,94.0,2128.22315,2151.24422
-2.47174e+18,trip,0,21.96,94.0,92.1,2151.24422,2164.39399
-2.47174e+18,trip,0,178.4,92.1,67.2,2164.39399,2283.65595
-2.47174e+18,trip,0,48.45,67.2,60.7,2283.65595,2313.03582
-2.47174e+18,charge,120,142.45,60.7,65.6,2313.03582,2313.03582
-2.47174e+18,trip,0,39.34,65.6,62.5,2313.03582,2337.78516
-2.47174e+18,trip,0,78.48,62.5,53.3,2337.78516,2386.78464
-2.47174e+18,charge,240,106.84,53.3,65.5,2386.78464,2386.78464
-2.47174e+18,trip,0,158.89,65.5,41.6,2386.78464,2497.67876
-2.47174e+18,charge,120,169.69,41.6,44.4,2497.67876,2497.67876
-2.47174e+18,trip,0,25.01,44.4,41.6,2497.67876,2511.80458
-2.47174e+18,trip,0,91.32,41.6,29.0,2511.80458,2574.87882
-2.47174e+18,trip,0,43.41,29.0,24.5,2574.87882,2600.33904
-2.47174e+18,charge,DC Charging,69.81,24.5,52.9,2600.33904,2600.33904
-2.47174e+18,trip,0,22.01,52.9,51.8,2600.33904,2613.42794
-2.47174e+18,trip,0,18.24,51.8,50.8,2613.42794,2623.9652
-2.47174e+18,charge,120,69.16,50.8,54.4,2623.9652,2623.9652
-2.47174e+18,trip,0,59.9,54.4,47.6,2623.9652,2662.98212
-2.47174e+18,trip,0,71.27,47.6,39.5,2662.98212,2710.03108
-2.47174e+18,trip,0,41.38,39.5,35.9,2710.03108,2734.6359
-2.47174e+18,trip,0,53.11,35.9,32.2,2734.6359,2760.337
-2.47174e+18,trip,0,46.18,32.2,28.6,2760.337,2782.58206
-2.47174e+18,trip,0,31.93,28.6,25.9,2782.58206,2800.25057
-2.47174e+18,trip,0,20.71,25.9,24.9,2800.25057,2811.72977
-2.47174e+18,trip,0,17.75,24.9,24.1,2811.72977,2822.70655
-2.47174e+18,charge,DC Charging,70.65,24.1,53.9,2822.70655,2822.70655
-2.47174e+18,trip,0,71.12,53.9,49.9,2822.70655,2859.60027
-2.47174e+18,charge,DC Charging,80.59,49.9,79.9,2859.60027,2859.60027
-2.47174e+18,charge,120,482.79,79.9,82.1,2859.60027,2859.60027
-2.47174e+18,trip,0,207.6,82.1,54.7,2859.60027,2993.82326
-2.47174e+18,trip,0,28.9,54.7,48.5,2993.82326,3016.12032
-2.47174e+18,charge,DC Charging,48.23,48.5,79.6,3016.12032,3016.12032
